celltype,total_prs_weight,n_genes,n_loci,mean_abs_slope,prs_pct,lineage
CD4_Tn_CCR7,6.690134638138,96,19,0.4515776646875,6.9164433050539165,T cell
CD8_Tn_CCR7,5.265196866929,73,19,0.45912115863013697,5.443303848096751,T cell
CD4_Tfh-like_CXCR5,5.201577852032,58,18,0.48352665431034486,5.377532778685068,T cell
CD8_Tem_CCR7neg,4.90209016761,61,19,0.45241137606557374,5.067914257996648,T cell
CD8_CTL_GZMB,4.055842035038,64,19,0.38548173124999996,4.193039902318359,T cell
MAIT_SLC4A10,3.971605887871,47,18,0.4955001455319149,4.10595428033469,T cell
Mature_NK_dim_FCGR3A,3.789107428982,56,18,0.4431501414285715,3.9172824056357993,NK/ILC
CD4_Th17-like_RORC,3.298340945237,42,14,0.48331022595238093,3.4099146552929342,T cell
Bn_TCL1A,3.293429446868,45,17,0.4547147768888889,3.4048370145802345,B cell
CD4_Tem_CCR7neg,3.147241362441,43,19,0.4387754839534885,3.2537037934265283,T cell
CD4_Th1-like_GZMK,3.142843549084,44,16,0.4897955106818182,3.24915721426256,T cell
cMono_CD14,3.081111010693,50,16,0.42378534839999993,3.1853364356156826,Myeloid
gdT2_IL12RB2,2.659717612745,39,16,0.4853647312820512,2.749688469815917,T cell
NKT_NCR1,2.63680992686,46,16,0.42191198673913044,2.7260058805642178,T cell
CD4_Th_TNFRSF11A,2.5174586202500002,29,13,0.4833784255172414,2.6026172508576684,T cell
CD4_Tcm_CXCR5,2.463149865702,35,14,0.4534682031428572,2.5464713820349334,T cell
MK_GP9,1.892076237586,13,9,0.6429017907692308,1.9560799197526335,Other
ncMono_FCGR3A,1.846968426515,40,13,0.45749054549999996,1.9094462367607936,Myeloid
CD4_Treg_FOXP3,1.76376776087,25,12,0.4632576604,1.823431123762029,T cell
pDC_IRF4,1.623938412383,28,15,0.4103129696428571,1.6788717369180401,Myeloid
CD4_Treg_FCRL3,1.530145121106,25,11,0.4572301632,1.581905679192731,T cell
Transitional_B_MME,1.315521105371,16,9,0.436630853125,1.3600215293174942,B cell
CD8_CTL_GZMK,1.280273569353,29,14,0.43527468379310347,1.3235816670878762,T cell
gdT2_GZMH,1.270778887874,26,11,0.46769821192307687,1.3137658069144962,T cell
Unswitched_Bm_CD1C,1.211605280736,18,10,0.43717877,1.252590521055164,B cell
CD4_Th_LMNA,1.157124602679,19,9,0.4668634200000001,1.1962669130287926,T cell
ncMono_C1QA,1.090976279229,26,11,0.47235667461538455,1.1278809755832007,Myeloid
CD4_CTL_GZMH,1.081754922158,19,9,0.519852615263158,1.1183476856231378,T cell
Transitional_NK_GZMK,1.07027260039,20,12,0.4599263845,1.1064769488122472,NK/ILC
Switched_Bm_IGHDneg,1.035342931573,20,10,0.43961692249999995,1.070365706347876,B cell
Switched_activated_Bm_CD86,0.991498063332,22,11,0.5373652977272726,1.0250376880330103,T cell
Proliferative_T_MKI67,0.882196371356,14,9,0.4224037035714285,0.9120386235016463,Other
DC2_CD1C,0.828361885686,18,9,0.48760766333333333,0.8563830667553437,Myeloid
CD4_Tn_CXCR5,0.8252963496810001,15,8,0.46344162133333333,0.8532138321845902,T cell
CD4_Tn_SOX4,0.809902726823,13,7,0.47917755000000006,0.8372994858349968,T cell
CD4_Th22-like_CCR10,0.800820563906,13,9,0.5182755276923076,0.8279100985804263,T cell
