pathway,overlap_count,pathway_size_in_bg,target_genes,background_size,p_value,overlap_genes,p_bonferroni
Cytokine-cytokine receptor interaction,4,39,153,13645,0.0009211912484597816,IL18R1;IL1R1;IL1R2;IL2RB,0.010133103733057598
NF-kB signaling,3,39,153,13645,0.009403234633162207,NFKBIA;RELA;TRAF6,0.10343558096478428
IL-17 signaling,2,30,153,13645,0.0442725096305124,RELA;TRAF6,0.4869976059356364
Th1/Th2 differentiation,2,31,153,13645,0.046985344280049524,IL18R1;IRF1,0.5168387870805448
Toll-like receptor signaling,2,37,153,13645,0.06445157566785438,RELA;TRAF6,0.7089673323463982
JAK-STAT signaling,2,51,153,13645,0.11167081912988737,IL2RB;SOCS1,1.0
Th17 differentiation,1,26,153,13645,0.25431543259154776,IL1R1,1.0
Antigen processing and presentation,1,35,153,13645,0.32643018237624327,CIITA,1.0
T cell receptor signaling,1,40,153,13645,0.36345424599084786,RELA,1.0
TNF signaling,0,40,153,13645,1.0,,1.0
Chemokine signaling,0,32,153,13645,1.0,,1.0
