cell_type_1,cell_type_2,ad_coupling_r,global_rb,ad_minus_global,n_shared_locus_genes
CD4_Tfh-like_CXCR5,CD4_Th1-like_GZMK,0.9486578890012787,0.0,0.9486578890012787,36
CD4_Th1-like_GZMK,CD4_Th17-like_RORC,0.9372664646839096,0.0,0.9372664646839096,28
CD4_Tfh-like_CXCR5,CD4_Th17-like_RORC,0.9194629315186238,0.0,0.9194629315186238,32
CD4_Th1-like_GZMK,CD4_Th22-like_CCR10,0.8840079918939608,0.0,0.8840079918939608,12
CD4_Th17-like_RORC,CD4_Th22-like_CCR10,0.8807046310386792,0.0,0.8807046310386792,11
CD4_Tfh-like_CXCR5,CD4_Th22-like_CCR10,0.8564051228416005,0.0,0.8564051228416005,12
CD4_Tr1_IL10,pre-Switched_Bm_JAM3,0.6782928104621679,0.0,0.6782928104621679,5
CD4_Th22-like_CCR10,pre-Switched_Bm_JAM3,0.5500862413849281,0.0,0.5500862413849281,9
CD4_Th17-like_RORC,pre-Switched_Bm_JAM3,0.4798973817353297,0.0,0.4798973817353297,12
CD4_Th1-like_GZMK,pre-Switched_Bm_JAM3,0.47975957625123355,0.0,0.47975957625123355,14
CD4_Tfh-like_CXCR5,pre-Switched_Bm_JAM3,0.46888974125285665,0.0,0.46888974125285665,13
MK_GP9,ncMono_FCGR3A,0.8641930147049373,0.423016294651633,0.44117672005330427,7
MK_GP9,Transitional_NK_GZMK,0.8777077007167045,0.441392797093735,0.43631490362296943,7
MK_GP9,ncMono_C1QA,0.8242494366732454,0.416201564840698,0.40804787183254737,5
MK_GP9,Switched_Bm_IGHDneg,0.7811269857495037,0.377695246802597,0.4034317389469067,6
MK_GP9,gdT2_IL12RB2,0.8486118448801029,0.453819555934293,0.39479228894580987,7
MK_GP9,Switched_Bm_IGHE,0.7713309972469132,0.377511437760776,0.3938195594861372,6
MK_GP9,pre-Switched_Bm_JAM3,0.8638193904997691,0.496527176622413,0.36729221387735606,6
MK_GP9,cMono_IL1B,0.737628262812725,0.390928780695886,0.346699482116839,5
MK_GP9,Mature_NK_dim_FCGR3A,0.8189551373405324,0.48472268942398,0.3342324479165524,8
MK_GP9,cMono_CD14,0.8017641685791081,0.470366251492811,0.3313979170862971,9
MK_GP9,NKT_NCR1,0.8152560522263708,0.486930914925696,0.32832513730067475,8
MK_GP9,pDC_IRF4,0.7252926781355138,0.398844173370486,0.3264485047650278,8
CD8_CTL_GZMB,MK_GP9,0.824453857579741,0.513188179322968,0.311265678256773,9
CD8_Tem_CCR7neg,MK_GP9,0.79183871767876,0.53919684126012,0.25264187641864,9
Atypical_Bm_ITGAX,MK_GP9,0.7756263473059694,0.528072792966114,0.24755355433985538,6
ncMono_IFIT1,pDC_IRF4,0.9572409017150748,0.716630303862897,0.24061059785217787,5
MAIT_SLC4A10,MK_GP9,0.7152369878673652,0.499673342629525,0.21556364523784022,7
DC2_CD1C,MK_GP9,0.6320780643772489,0.419781712142454,0.21229635223479487,5
cMono_CD14,gdT2_GZMK,0.9352994461305397,0.732813201794694,0.20248624433584572,7
MK_GP9,gdT2_GZMK,0.6231063560960273,0.430052992092487,0.19305336400354028,5
MK_GP9,Unswitched_Bm_CD1C,0.5775028738322301,0.387899419309182,0.1896034545230481,8
CD4_Th_CCR4,pDC_IRF4,0.9957953900687776,0.810212851746587,0.18558253832219063,7
CD4_Tn_CCR7,Plasma_IGHA1,0.9418402471877028,0.75876443155878,0.18307581562892272,5
Bn_TCL1A,MK_GP9,0.6749170392374981,0.496110972040734,0.17880606719676412,9
gdT2_GZMK,pDC_IRF4,0.9879448862790322,0.809543702223042,0.17840118405599026,8
Atypical_Bm_ITGAX,pDC_IRF4,0.987760261373844,0.816698795498957,0.17106146587488702,9
CD4_Tn_SOX4,pDC_IRF4,0.9978466772415348,0.831667079440001,0.1661795978015338,6
Unswitched_Bm_CD1C,pDC_IRF4,0.9774896404163819,0.811725848561485,0.16576379185489687,9
Mature_NK_dim_FCGR3A,Unswitched_Bm_CD1C,0.9895893696413605,0.825465917577974,0.1641234520633864,10
CD4_Tn_SOX4,ncMono_FCGR3A,0.979299887372773,0.816240470307266,0.16305941706550697,7
Bn_TCL1A,CD4_Tcm_IFI44L,0.9879413374142765,0.824953302434146,0.16298803498013048,6
CD4_Treg_FOXP3,MK_GP9,0.8050928486172773,0.643046840137242,0.16204600848003525,7
Switched_Bm_IGHDneg,pDC_IRF4,0.9884260945707714,0.82696610665635,0.1614599879144214,10
Bn_TCL1A,CD4_Tn_SOX4,0.9736686312692112,0.812248532632373,0.16142009863683826,10
Mature_NK_dim_FCGR3A,Switched_Bm_IGHE,0.9780440353072719,0.824958457954272,0.15308557735299988,10
CD4_Tcm_IFI44L,ncMono_FCGR3A,0.9816159684517433,0.83197581896295,0.14964014948879323,6
CD4_Th17-like_RORC,MK_GP9,0.7370110563457465,0.587876786099636,0.14913427024611048,8
CD8_Tn_CCR7,MK_GP9,0.6455148447343219,0.497788878143838,0.14772596659048387,9
Bn_TCL1A,gdT2_GZMK,0.9522993815928477,0.806074958361364,0.14622442323148366,8
Atypical_Bm_ITGAX,CD4_Treg_FOXP3,0.9888237354159151,0.843968622677613,0.1448551127383021,9
Terminal_NK_dim_CD160neg,pre-Switched_Bm_JAM3,0.9635871193037373,0.818830567929465,0.14475655137427235,5
CD4_Treg_FCRL3,ncMono_FCGR3A,0.9378922973710694,0.79452484258894,0.14336745478212942,11
CD4_Tn_LIMS1,pre-Switched_Bm_JAM3,0.9942016142143284,0.850840478324281,0.1433611358900474,7
MK_GP9,Switched_activated_Bm_CD86,0.5552906067847246,0.412234844966986,0.14305576181773866,6
Atypical_Bm_ITGAX,CD4_Treg_FCRL3,0.978762787568383,0.835780026704183,0.14298276086419992,8
CD4_Th_LMNA,DC2_CD1C,0.9927660275543335,0.850107483814275,0.14265854374005849,7
Atypical_Bm_ITGAX,CD4_Tn_SOX4,0.9928910246317193,0.852305403334726,0.14058562129699326,8
cMono_IFI44L,gdT2_GZMH,0.8901507959104287,0.751510194222518,0.1386406016879107,8
MK_GP9,gdT2_GZMH,0.5634243762154006,0.42557942494474,0.13784495127066065,7
MAIT_SLC4A10,Plasma_IGHA1,0.9396526306281855,0.802240427042481,0.1374122035857045,5
Atypical_Bm_ITGAX,CD4_Tn_CXCR5,0.9810749325905943,0.845065967235676,0.13600896535491835,7
CD8_Tem_CCR7neg,Plasma_IGHA1,0.9386779343962609,0.805581529072613,0.13309640532364786,5
Atypical_Bm_ITGAX,CD4_Tcm_IFI44L,0.9837032225983664,0.852550852231823,0.13115237036654337,6
Switched_Bm_IGHE,gdT2_GZMK,0.9839242207973706,0.854263343073524,0.1296608777238466,6
Switched_activated_Bm_CD86,intMono_GFRA2,0.9076790107249029,0.778145766742887,0.12953324398201582,5
Transitional_B_MME,gdT2_GZMK,0.9531315795666504,0.823747133083139,0.12938444648351144,7
gdT2_GZMK,ncMono_FCGR3A,0.9615047873523233,0.832956239505561,0.12854854784676228,7
Unswitched_Bm_CD1C,gdT2_GZMK,0.9836212276755455,0.856015637366046,0.12760559030949947,6
Plasma_IGHA1,Switched_activated_Bm_CD86,0.9304004203316373,0.802822008201189,0.1275784121304483,5
Bn_TCL1A,Plasma_IGHA1,0.9172279335920912,0.793811213158959,0.12341672043313223,5
cMono_IFI44L,pre-Switched_Bm_JAM3,0.9196815305263825,0.796357706185669,0.12332382434071343,5
CD4_Tn_LIMS1,Terminal_NK_dim_CD160neg,0.9742998981846696,0.851837917568559,0.12246198061611058,5
Atypical_Bm_ITGAX,CD8_Tn_CCR7,0.9597328988555911,0.837516866552294,0.12221603230329714,10
