cell_type_1,cell_type_2,ad_coupling_r,global_rb,ad_minus_global,n_shared_locus_genes,disruption_score
gdT1_TRDV1,pDC_IRF4,-0.707621212640562,0.828886051368492,-1.536507264009054,5,1.8537014363702686
CD4_Tr1_IL10,CD4_Treg_FCRL3,-0.4364697840481605,0.895861168700707,-1.3323309527488676,5,1.4872069460061375
CD8_Tcm_IFI44L,gdT1_TRDV1,-0.3603439523575935,0.938551893770502,-1.2988958461280955,6,1.383936098525103
gdT1_TRDV1,gdT2_GZMK,-0.3239444889073916,0.904561828705068,-1.2285063176124595,5,1.3581231029515546
Bn_TCL1A,CD4_Tr1_IL10,-0.2985948933301781,0.846670459706316,-1.145265353036494,5,1.3526695539061933
intMono_GFRA2,ncMono_FCGR3A,-0.3125586225410138,0.920589379689814,-1.233148002230828,5,1.339520126385043
CD4_CTL_GZMH,gdT1_TRDV1,-0.2949526125536439,0.872036874097075,-1.1669894866507189,5,1.3382341060508982
CD4_Tr1_IL10,Unswitched_Bm_CD1C,-0.249425073271867,0.854317668613903,-1.1037427418857702,5,1.2919582286955966
Unswitched_Bm_CD1C,gdT1_TRDV1,-0.25017456863422,0.859740243044034,-1.109914811678254,6,1.2909885522497366
Proliferative_T_MKI67,pDC_IRF4,-0.2322892537055379,0.815703544597027,-1.047992798302565,8,1.284771661523542
CD4_Tr1_IL10,Mature_NK_dim_FCGR3A,-0.2397229526752241,0.863890605660228,-1.103613558335452,5,1.2774922555061423
CD4_Tr1_IL10,NKT_NCR1,-0.2244252379533977,0.869127615836196,-1.0935528537895938,5,1.2582189702227746
Switched_Bm_IGHE,gdT1_TRDV1,-0.2036707200448903,0.857994171413541,-1.0616648914584312,6,1.2373800741668721
CD4_Tr1_IL10,Transitional_B_MME,-0.1959719739536746,0.854813562930738,-1.0507855368844126,5,1.2292569777224667
Bn_TCL1A,Proliferative_T_MKI67,-0.1757169021435904,0.775306943374569,-0.9510238455181592,9,1.2266417238297547
gdT1_TRDV1,ncMono_FCGR3A,-0.1777988266618235,0.835718903025068,-1.0135177296868916,5,1.2127495573191436
CD4_Tr1_IL10,CD8_Tn_CCR7,-0.1613026645187978,0.894367035627987,-1.0556697001467847,5,1.1803539912509609
CD4_Tcm_IFI44L,gdT1_TRDV1,-0.1666837596980456,0.938670150406151,-1.1053539101041967,5,1.1775743690431868
Proliferative_T_MKI67,cMono_IFI44L,-0.1392674018330283,0.823085051504697,-0.9623524533377252,6,1.1692017144260256
CD4_Tr1_IL10,CD8_Tem_CCR7neg,-0.1476274023046179,0.891394517618619,-1.039021919923237,5,1.1656139895262179
Switched_activated_Bm_CD86,ncMono_IFIT1,-0.1263936380223702,0.786715407075675,-0.9131090450980452,5,1.1606599246507605
Atypical_Bm_ITGAX,gdT1_TRDV1,-0.1148339394590719,0.843010418408155,-0.957844357867227,6,1.1362188852611232
CD4_Tn_CCR7,CD4_Tr1_IL10,-0.0825245945358972,0.895158106381952,-0.9776827009178491,5,1.0921899650436557
CD4_Tr1_IL10,MAIT_SLC4A10,-0.0798151118396286,0.881046576317159,-0.9608616881567876,5,1.090591251342536
Transitional_B_MME,gdT1_TRDV1,-0.0409442537339708,0.829825775650426,-0.8707700293843968,5,1.0493407832528199
