regulon,tf_name,mean_RI,is_ad_regulon,stability_class
FOSL1_+,FOSL1,0.0001459026131159,False,destabilizer
MITF_+,MITF,0.0016026815705934,False,intermediate
ATF3_+,ATF3,0.0014840740450669,False,intermediate
KLF8_+,KLF8,0.0006189283141346,False,destabilizer
MXD1_+,MXD1,0.0022543866811867,False,stabilizer
MYBL1_+,MYBL1,0.0017034093365237,False,intermediate
ELK4_+,ELK4,0.0014505972343194,False,intermediate
POU4F1_+,POU4F1,0.0015398545238583,False,intermediate
SMAD3_+,SMAD3,0.0020463268946598,False,intermediate
E2F5_+,E2F5,0.0005881471754936,False,destabilizer
ELF1_+,ELF1,0.0018942317550212,False,intermediate
TCF3_+,TCF3,0.0009328809854481,False,intermediate
ZEB1_+,ZEB1,0.0052449204733085,False,stabilizer
STAT6_+,STAT6,0.0014112142995845,False,intermediate
SOX13_+,SOX13,0.0016424245208228,False,intermediate
E2F2_+,E2F2,0.0006710201004842,False,destabilizer
SMAD4_+,SMAD4,0.001556661520768,False,intermediate
RUNX1_+,RUNX1,0.0015898310590087,False,intermediate
RUNX2_+,RUNX2,0.0008325382569401,False,destabilizer
AHR_+,AHR,0.0013346503722171,False,intermediate
NR1D2_+,NR1D2,0.0023222972206512,False,stabilizer
ZBTB4_+,ZBTB4,0.0018628419768315,False,intermediate
NR4A1_+,NR4A1,0.0017336055686029,False,intermediate
ERG_+,ERG,5.116451034945802e-05,False,destabilizer
PHF20_+,PHF20,0.0023584524866375,False,stabilizer
IKZF1_+,IKZF1,0.0018823458988977,False,intermediate
KLF9_+,KLF9,0.005693042811916,False,stabilizer
ZBTB10_+,ZBTB10,0.0012149641694868,True,intermediate
SREBF2_+,SREBF2,0.0014285837133687,False,intermediate
TGIF1_+,TGIF1,0.0023806451181715,False,stabilizer
MYC_+,MYC,0.0029148687690159,False,stabilizer
HIF1A_+,HIF1A,0.0027244474992752,False,stabilizer
MXI1_+,MXI1,0.002163203582526,False,intermediate
ARID5B_+,ARID5B,0.0014771209231436,False,intermediate
PHF1_+,PHF1,0.004848008270943,False,stabilizer
PRDM4_+,PRDM4,0.0006569379391862,False,destabilizer
ETV6_+,ETV6,0.0012330509666991,False,intermediate
CEBPA_+,CEBPA,0.0013762343876398,False,intermediate
HES6_+,HES6,0.0010354294540865,False,intermediate
MAZ_+,MAZ,0.0023882398366828,False,stabilizer
TCF4_+,TCF4,0.000649645340724,False,destabilizer
GFI1_+,GFI1,0.0018671856562032,False,intermediate
ZNF783_+,ZNF783,0.0025250643573973,False,stabilizer
ATF4_+,ATF4,0.0027606568064189,False,stabilizer
VENTX_+,VENTX,0.0015958271661109,False,intermediate
BBX_+,BBX,0.0023243177106847,False,stabilizer
SP4_+,SP4,0.0016944377057161,False,intermediate
IRF5_+,IRF5,0.0018048420093825,False,intermediate
IRF7_+,IRF7,0.0012400760596429,False,intermediate
BATF_+,BATF,0.003164480461777,False,stabilizer
ETS1_+,ETS1,0.0023095079005006,True,stabilizer
FOS_+,FOS,0.0020548200272558,False,intermediate
FOXP3_+,FOXP3,0.0001503625534034,False,destabilizer
PAX5_+,PAX5,0.000789988422175,False,destabilizer
ESRRA_+,ESRRA,0.0016625186347943,False,intermediate
FOXM1_+,FOXM1,0.0003330184327605,False,destabilizer
GATA3_+,GATA3,0.0014916536833922,False,intermediate
BCL11B_+,BCL11B,0.002635537319391,False,stabilizer
LEF1_+,LEF1,0.0004612808418765,False,destabilizer
ZNF770_+,ZNF770,0.000920411933039,False,destabilizer
JUNB_+,JUNB,0.0056610822497949,False,stabilizer
E2F8_+,E2F8,0.0004892388730705,False,destabilizer
BHLHE41_+,BHLHE41,0.0008604876551693,False,destabilizer
BCL6_+,BCL6,0.0006184187271841,False,destabilizer
BHLHE40_+,BHLHE40,0.0021166125106185,False,intermediate
