locus_id,Atypical_Bm_ITGAX,Bn_TCL1A,CD4_CTL_GZMH,CD4_Tcm_CXCR5,CD4_Tcm_IFI44L,CD4_Tem_CCR7neg,CD4_Tfh-like_CXCR5,CD4_Th1-like_GZMK,CD4_Th17-like_RORC,CD4_Th_LMNA,CD4_Tn_CCR7,CD4_Tr1_IL10,CD4_Treg_FCRL3,CD4_Treg_FOXP3,CD8_CTL_GZMB,CD8_Tem_CCR7neg,CD8_Tn_CCR7,DC2_CD1C,MAIT_SLC4A10,MK_GP9,Mature_NK_dim_FCGR3A,NKT_NCR1,NK_bright_XCL1,Plasma_IGHA1,Switched_Bm_IGHDneg,Switched_Bm_IGHE,Switched_activated_Bm_CD86,Transitional_B_MME,Transitional_NK_GZMK,Unswitched_Bm_CD1C,cMono_CD14,cMono_IFI44L,cMono_IL1B,gdT2_GZMH,gdT2_IL12RB2,intMono_GFRA2,ncMono_C1QA,ncMono_FCGR3A,pDC_IRF4,pre-Switched_Bm_JAM3
AD_locus_1,0.0,0.0,0.0,0.0,1.0,3.0,1.0,4.0,1.0,0.0,4.0,0.0,0.0,0.0,2.0,2.0,0.0,3.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0
AD_locus_10,3.0,9.0,4.0,1.0,3.0,7.0,5.0,11.0,2.0,2.0,23.0,1.0,1.0,2.0,13.0,14.0,10.0,10.0,9.0,1.0,15.0,12.0,1.0,0.0,5.0,2.0,2.0,3.0,3.0,2.0,38.0,7.0,1.0,5.0,9.0,6.0,4.0,12.0,5.0,2.0
AD_locus_11,1.0,20.0,3.0,0.0,2.0,5.0,5.0,7.0,3.0,0.0,8.0,0.0,0.0,5.0,10.0,10.0,7.0,13.0,6.0,0.0,11.0,10.0,2.0,1.0,8.0,3.0,4.0,4.0,1.0,6.0,47.0,9.0,1.0,4.0,4.0,7.0,4.0,11.0,8.0,1.0
AD_locus_12,0.0,4.0,1.0,0.0,1.0,4.0,3.0,3.0,1.0,0.0,6.0,0.0,0.0,1.0,8.0,7.0,3.0,2.0,4.0,0.0,14.0,7.0,0.0,0.0,3.0,1.0,1.0,2.0,1.0,1.0,15.0,1.0,0.0,2.0,2.0,3.0,1.0,6.0,3.0,0.0
AD_locus_13,0.0,3.0,1.0,0.0,0.0,1.0,1.0,4.0,0.0,0.0,5.0,0.0,0.0,2.0,7.0,7.0,5.0,2.0,6.0,0.0,9.0,6.0,0.0,0.0,3.0,0.0,2.0,2.0,0.0,2.0,4.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0
AD_locus_14,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,8.0,8.0,4.0,1.0,2.0,0.0,5.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0,2.0,0.0,1.0,1.0,1.0,0.0,4.0,0.0,0.0
AD_locus_15,1.0,4.0,2.0,0.0,1.0,5.0,5.0,7.0,4.0,0.0,9.0,1.0,0.0,2.0,12.0,8.0,7.0,4.0,10.0,0.0,17.0,14.0,1.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,28.0,4.0,0.0,5.0,5.0,4.0,3.0,13.0,4.0,0.0
AD_locus_16,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,7.0,0.0,0.0,0.0,2.0,3.0,4.0,4.0,2.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0
AD_locus_17,0.0,2.0,2.0,0.0,1.0,2.0,2.0,2.0,1.0,1.0,7.0,0.0,1.0,1.0,3.0,3.0,4.0,3.0,3.0,0.0,2.0,4.0,0.0,0.0,2.0,0.0,2.0,1.0,2.0,1.0,9.0,1.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0
AD_locus_18,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
AD_locus_19,0.0,9.0,1.0,0.0,2.0,5.0,9.0,10.0,3.0,0.0,12.0,0.0,2.0,0.0,10.0,15.0,11.0,12.0,11.0,0.0,17.0,9.0,0.0,0.0,4.0,1.0,1.0,2.0,0.0,1.0,29.0,4.0,0.0,2.0,7.0,7.0,5.0,11.0,3.0,0.0
AD_locus_2,1.0,6.0,1.0,0.0,0.0,3.0,3.0,3.0,4.0,0.0,6.0,0.0,0.0,3.0,5.0,5.0,6.0,13.0,3.0,0.0,10.0,5.0,0.0,0.0,3.0,1.0,2.0,3.0,1.0,2.0,40.0,9.0,0.0,3.0,3.0,7.0,5.0,17.0,0.0,0.0
AD_locus_20,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AD_locus_21,0.0,3.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,3.0,2.0,5.0,2.0,0.0,3.0,4.0,0.0,0.0,2.0,0.0,1.0,2.0,1.0,1.0,27.0,4.0,0.0,1.0,1.0,4.0,3.0,7.0,0.0,0.0
AD_locus_22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
