gene,is_ad_egene,is_drug_target,n_regulating_TFs,n_stabilizer_TFs,n_destabilizer_TFs,n_mapped_TFs,stabilizer_load,n_eqtl_celltypes,coupling_disruption
AC007278.1,True,False,0,0,0,0,,1,0.17910326356999096
AC007278.2,True,False,0,0,0,0,,2,0.18462942864189255
AC008033.3,True,False,0,0,0,0,,1,0.17910326356999096
AC009812.1,True,False,0,0,0,0,,4,0.20558370281530847
AC016074.2,True,False,0,0,0,0,,1,0.17910326356999096
AC099489.1,True,False,0,0,0,0,,1,0.13965055667392404
AC116366.1,True,False,0,0,0,0,,1,0.13965055667392404
AC239803.1,True,False,0,0,0,0,,1,0.13965055667392404
AC242426.2,True,False,0,0,0,0,,14,0.14199234712515443
AC246785.3,True,False,0,0,0,0,,17,0.19392097224165347
ACER3,True,False,21,0,0,19,0.0,16,0.1797910225686768
ACP6,True,False,8,5,1,7,0.7142857142857143,9,0.15580305157642524
ACSL6,True,False,11,7,1,9,0.7777777777777778,1,0.15467156144263675
ADAMTS10,True,False,9,2,1,6,0.3333333333333333,1,0.13965055667392404
ADRM1,True,False,7,1,0,3,0.3333333333333333,1,0.20482135329218343
AFF4,True,False,11,3,0,9,0.3333333333333333,15,0.17760842198466734
AL118506.1,True,False,0,0,0,0,,9,0.17966499004139574
AL121603.2,True,False,0,0,0,0,,1,0.1693488369861988
AL121845.1,True,False,0,0,0,0,,1,0.13965055667392404
AL121845.4,True,False,0,0,0,0,,2,0.1339028364695929
ANXA5,True,False,27,3,0,24,0.125,19,0.2302081413661356
AP000759.1,True,False,0,0,0,0,,1,0.13965055667392404
AP001189.1,True,False,0,0,0,0,,16,0.1376404839664267
AP002360.1,True,False,0,0,0,0,,1,0.15467156144263675
APOL3,True,False,10,1,0,4,0.25,1,-0.17346253273767367
ARFRP1,True,False,6,1,0,2,0.5,1,0.0946430095219523
ARL2,True,False,8,1,0,1,1.0,1,0.2168162736210265
ATF7IP2,True,False,7,6,0,7,0.8571428571428571,1,0.20083833256801945
ATP5MC1,True,False,4,2,0,2,1.0,8,0.19223481609635876
BANF1,True,False,4,0,0,1,0.0,22,0.17155678011547076
BAZ1A,True,False,10,3,0,5,0.6,5,0.176469053484936
BCL2,True,False,12,9,0,10,0.9,1,
BIRC7,True,False,7,0,2,3,0.0,1,0.1693488369861988
C11orf74,True,False,3,0,0,3,0.0,1,0.1693488369861988
C1QTNF6,True,False,8,4,3,8,0.5,11,0.19504681833017326
C2CD4D,True,False,15,3,4,13,0.23076923076923078,1,0.19015559371379415
C5orf15,True,False,15,0,1,11,0.0,1,0.17910326356999096
C5orf56,True,False,0,0,0,0,,9,0.22084686216304147
CAND1,True,False,7,2,0,4,0.5,1,0.17182019728877537
CAPN5,True,False,8,0,1,5,0.0,3,0.14571816997512818
CCDC85B,True,False,7,3,0,3,1.0,2,0.2476600836633151
CCNA2,True,False,0,0,0,0,,1,0.5645193009866586
