cell_type,n_genes,mean_non_additivity,median_non_additivity,mean_magnitude,mean_gini,mean_uniformity
MK_GP9,318,0.8741371533207015,1.0,1.8731298712287283,0.14081100114144354,0.12586284667929834
CD4_Tn_CCR7,3968,0.8519207092173979,0.9869150159360485,1.616909059318209,0.11708278057117705,0.14807929078260212
CD8_Tn_CCR7,3388,0.8423023359728001,0.9861126259623839,1.7218278226495896,0.11733523197547412,0.1576976640272
cMono_CD14,2432,0.839504437575057,0.996557413865256,1.8643427736950713,0.12605725165826617,0.16049556242494306
ncMono_FCGR3A,1887,0.8288774341870799,0.9889694717549908,2.0023076288642727,0.12598751288031498,0.17112256581292015
CD8_Tem_CCR7neg,2917,0.8285578264737988,0.9818129584195662,1.8621208619902012,0.12037811322713139,0.1714421735262012
Mature_NK_dim_FCGR3A,2459,0.8269911463011743,0.979999899135778,1.9250194774045295,0.12147838187850894,0.17300885369882574
CD4_Tfh-like_CXCR5,2805,0.8268497220539445,0.9829580460765679,1.8893304047772528,0.11981673207205908,0.1731502779460556
ncMono_C1QA,1335,0.8242652093342745,0.9927564136767387,2.156796057981412,0.13237808428766742,0.1757347906657254
MAIT_SLC4A10,2452,0.824060555273948,0.9902003305418023,1.9651381633932743,0.12112568960231482,0.17593944472605202
Bn_TCL1A,2101,0.8227687740061175,0.9938085409132323,2.0257863863067382,0.12250656946378106,0.17723122599388247
CD8_CTL_GZMB,2503,0.8222988621383255,0.9798711585756885,1.9527918518893712,0.12209575453864151,0.1777011378616745
cMono_IFI44L,555,0.8120329456997792,1.0,2.527355285986546,0.14239315832902097,0.18796705430022076
NKT_NCR1,2000,0.8116064071910482,0.9745666346739538,2.1000919972228074,0.12528643859920116,0.18839359280895196
CD4_Th1-like_GZMK,2135,0.8090630223394989,0.9762946334702892,2.113765872081472,0.1237707730386072,0.19093697766050102
DC2_CD1C,1123,0.8081641029352087,1.0,2.3757392844061442,0.1330806934728964,0.1918358970647913
CD4_Th17-like_RORC,1910,0.8051345030171134,0.9859205834244268,2.1808160444933926,0.1242317603937519,0.19486549698288652
CD4_Tem_CCR7neg,2054,0.8050755209898957,0.9750183321646666,2.1479855721534773,0.12436948389482705,0.1949244790101043
gdT2_IL12RB2,1642,0.7999344957599795,0.9796660141026354,2.262201217231307,0.12667846930683813,0.20006550424002056
Plasmablast_MKI67,46,0.7995584165330168,0.995763529717619,3.14319488487865,0.1643860903157887,0.20044158346698313
cMono_IL1B,487,0.7959331234361685,1.0,2.686262391212124,0.14541191875487006,0.20406687656383155
CD4_Tcm_CXCR5,1598,0.7947555839911976,0.9846268784893415,2.3209853309921513,0.12666291858734602,0.2052444160088024
DC1_CLEC9A,85,0.7941300082610153,0.9622004265336953,3.0743968510015542,0.17368721930497466,0.2058699917389845
pDC_IRF4,872,0.7908817872170872,0.9796106179613657,2.4107461397784986,0.13370467118441962,0.20911821278291273
Switched_activated_Bm_CD86,1111,0.7891368939463927,0.975201587432565,2.4983383857327315,0.13125863896022386,0.21086310605360734
Switched_Bm_IGHDneg,851,0.7880972743622195,1.0,2.654041967774558,0.13350560132834727,0.21190272563778043
Proliferative_NK_MKI67,93,0.7864748625621404,1.0,3.5590698633998534,0.15197081951062585,0.21352513743785956
ncMono_IFIT1,313,0.7853656980437453,0.9838376079714316,2.8032344945923118,0.15241450460427705,0.21463430195625466
Transitional_B_MME,968,0.7852334025130864,0.9821523529480289,2.518297690129124,0.1316179908880242,0.2147665974869136
pre-Switched_Bm_JAM3,940,0.7819956457703493,0.9937505100497059,2.5937095697411565,0.13299856430119625,0.2180043542296507
gdT2_GZMH,981,0.7802024032410483,0.9999085982085318,2.6372142009676245,0.1331098456736783,0.2197975967589516
CD4_Treg_FOXP3,1147,0.7791153515266881,0.9848306969859189,2.564707528541228,0.12844985004134518,0.22088464847331188
intMono_GFRA2,333,0.7787594405636751,1.0,2.880901112106892,0.15126933290024386,0.2212405594363247
Unswitched_Bm_CD1C,866,0.7769758364431757,0.9916168589094991,2.6676852672276965,0.13495035401692307,0.22302416355682425
CD4_Th_TNFRSF11A,1257,0.7759550916209274,0.960276286118084,2.521559895721564,0.12821822189813412,0.22404490837907262
Transitional_NK_GZMK,824,0.7745913377509108,0.9799355288557332,2.7103308827664514,0.13603108808595152,0.2254086622490892
Terminal_NK_dim_CD160neg,611,0.7741514449341836,0.9915270594352379,2.817325837505039,0.13928119555738797,0.22584855506581647
Plasma_IGHA1,316,0.7738010254293994,0.9806504875924001,2.895330976215464,0.13745286676261587,0.2261989745706007
ILC2_IL2RA,31,0.7733740353035325,1.0,3.979090994768283,0.16115194171342642,0.22662596469646737
Plasma_IGHG1,109,0.7719207980111662,0.9835422603818278,3.178015119924576,0.1406947107729352,0.22807920198883377
cMono_CXCL10,174,0.7715529629103292,0.9609660662206998,3.01383959295902,0.15787197709199088,0.22844703708967068
CD4_CTL_GZMH,949,0.7712372682529579,0.9667656273399666,2.6352352968773336,0.13205750945522365,0.22876273174704212
Switched_Bm_IGHE,712,0.770725440154594,0.9926883015809873,2.744105560117196,0.13230546977449048,0.22927455984540612
CD4_Treg_FCRL3,1064,0.7700768865285507,0.9662377640119875,2.63156988289463,0.12978873510151134,0.22992311347144928
CD8_CTL_GZMK,940,0.7628924936001628,0.9651960075455854,2.76087695166423,0.13270460113351512,0.23710750639983727
Atypical_Bm_ITGAX,582,0.7615891085927836,0.9960708035742538,2.8651551241530164,0.1359220847231997,0.2384108914072163
Bn_IL6,262,0.7585001622080323,1.0,3.1984126413737,0.14352491497610373,0.2414998377919677
Proliferative_T_MKI67,413,0.7572189167846448,0.9997265725329173,3.1766039759766938,0.13517425038979414,0.24278108321535521
CD4_Th_LMNA,778,0.7534095164358131,0.9781882878145658,2.8647816178375036,0.13198895939417624,0.2465904835641867
DC_CSF2RA,66,0.7510442013557287,1.0,4.073428405529542,0.14372111754677025,0.24895579864427125
NK_bright_XCL1,412,0.7487964365318288,0.9706029306206008,3.0964650673427223,0.14101725761367478,0.25120356346817124
CD4_Tn_SOX4,609,0.7463995681229867,0.9316641072203877,2.97091024815341,0.132821828362975,0.25360043187701337
Bn_IFIT3,132,0.7445295024002937,1.0,3.483129723828155,0.1440601842178665,0.2554704975997063
CD4_Th22-like_CCR10,648,0.7444037493377214,0.9671849830221319,2.983397978910295,0.13383458137043752,0.25559625066227865
CD8_CTL_IFI44L,59,0.7443742069737924,1.0,4.462305149186894,0.13886903984219726,0.2556257930262075
gdT2_GZMK,425,0.7441808069537588,0.9999085982085318,3.2259029715760517,0.1383687522286798,0.2558191930462412
CD8_Tcm_IFI44L,737,0.7415611940088951,0.9177861974205939,2.951456106751707,0.1358606735651055,0.2584388059911049
CD4_Th_CCR4,397,0.7352417059527147,0.9986267620486897,3.2269910922081433,0.13372512305219275,0.2647582940472852
CD4_Tn_CXCR5,649,0.7346528587555998,0.913331771685492,2.9700034694655764,0.13348961466260026,0.26534714124440006
Immature_T_CABP4,136,0.7339283447758622,0.9894956274821083,3.921828606011017,0.13734314365305583,0.2660716552241378
CD4_Tcm_IFI44L,401,0.7321632393930708,0.9890787044484569,3.318849334024113,0.13736876102745885,0.26783676060692907
NKT_IFNG,71,0.7287453138181166,0.9997265725329173,4.020128630534681,0.15692959750167806,0.27125468618188336
CD4_Tr1_IL10,239,0.7216046324550701,1.0,3.5554557115407044,0.13788796279581753,0.27839536754493
CD4_Th_CR1,67,0.7158817629876014,0.9568558229419181,3.8397860337222074,0.15163950608215385,0.28411823701239847
CD4_Tn_LIMS1,370,0.7050431394722175,0.9149991875254682,3.4592821721227973,0.13989663431964508,0.2949568605277824
gdT1_TRDV1,259,0.7047931446022779,0.9467192908843266,3.573353317988167,0.13700717713537194,0.295206855397722
CD8_Tn_SOX4,106,0.6763424458590653,0.9993133810243449,4.202168418161505,0.14001472107197616,0.32365755414093467
Unswitched_Bm_IL6,66,0.6725825903954573,0.856024210005999,4.094953267174633,0.1450636506326438,0.32741740960454274
HSPC_CD34,59,0.6365556146878902,0.7672777078198552,4.300086736032536,0.13725465560467462,0.3634443853121099
