cell_type,eqtl_n_genes,eqtl_mean_abs_slope,eqtl_gini,caqtl_n_peaks,caqtl_mean_abs_slope,caqtl_gini
Atypical_Bm_ITGAX,617,0.4442694211345219,0.19635835321713668,603,0.47996817592039803,0.1688328541683617
Bn_TCL1A,2309,0.4633280845647466,0.2443687099953682,5963,0.45173039990608754,0.2599702124563468
CD4_CTL_GZMH,988,0.43117892288461535,0.21149561545876647,1391,0.4376587804888569,0.2063018808670198
CD4_Tcm_CXCR5,1652,0.46224516805690075,0.22075130253476236,78,0.7264245378205126,0.09916088968582286
CD4_Tcm_IFI44L,420,0.4446128291666666,0.20448025638091227,576,0.46766504175347223,0.1776411055464824
CD4_Tem_CCR7neg,2135,0.4274214406505855,0.23783768174902833,2545,0.4410091639489194,0.23681451535361028
CD4_Tfh-like_CXCR5,2926,0.4615556365960355,0.24237002310523809,3190,0.4513478875423198,0.24231407762188775
CD4_Th1-like_GZMK,2209,0.4540056784336804,0.23431186543180127,5637,0.4533140438335994,0.25534576286794003
CD4_Th17-like_RORC,1988,0.4605432841197183,0.2271396862241117,1638,0.4530923323199023,0.2210179935805218
CD4_Th_LMNA,811,0.4509567332922318,0.20538043674393144,156,0.5235733976923077,0.14079874284585558
CD4_Th_TNFRSF11A,1314,0.45605470028919326,0.21564006903279376,78,0.6008250447435898,0.1316028819525749
CD4_Tn_CCR7,5273,0.45607697248606105,0.28257398341625256,10137,0.4308963332359672,0.2750867625094412
CD4_Tr1_IL10,259,0.45066055,0.19337296247463223,86,0.7186857346511628,0.10738708617155623
CD4_Treg_FCRL3,1121,0.4512438526137378,0.21769632532070768,74,0.5570681482432431,0.14566887685207827
CD4_Treg_FOXP3,1204,0.4522303892358804,0.2136705947982855,1264,0.45612833124999996,0.21177262745494205
CD8_CTL_GZMB,2643,0.4157763343965191,0.2525906450355406,7532,0.439888896125863,0.2638953400371184
CD8_Tem_CCR7neg,3065,0.43309070441957587,0.2508860721838967,7970,0.4481503485934755,0.2649304141588341
CD8_Tn_CCR7,3998,0.4525509971185593,0.2643621329659779,6651,0.4300136669688769,0.26557130476785246
DC2_CD1C,1213,0.46007008292662815,0.20694676699877104,7705,0.4996514016781311,0.23012452248987617
MAIT_SLC4A10,2623,0.4406019295539459,0.24263252428876111,6036,0.4395841541451292,0.25554335987952775
MK_GP9,424,0.47653631228773585,0.22482097876261847,51,0.7307204278431374,0.11682945554757772
Mature_NK_dim_FCGR3A,2683,0.44977537897502795,0.24261235163733252,9836,0.42778821525213495,0.2740797199537647
NKT_NCR1,2084,0.4370519183013436,0.2318985846123811,7477,0.43363351969372743,0.260844136299863
NK_bright_XCL1,434,0.4439028493087558,0.20035497445616673,443,0.45621322997742664,0.17944687259253692
Plasma_IGHA1,347,0.4649876985590778,0.16760017307605424,91,0.49686995164835174,0.1439352807825109
Proliferative_T_MKI67,454,0.41402322460352425,0.18912984290689097,65,0.6372725138461538,0.138697466199602
Switched_Bm_IGHDneg,885,0.4528396357740113,0.20902736670636138,2740,0.46008653645255476,0.22678646760145504
Switched_Bm_IGHE,767,0.45739703887874844,0.20838651273211944,501,0.4760215833333333,0.17726878398145196
Switched_activated_Bm_CD86,1181,0.46511815356477565,0.20995996967158156,976,0.469823798125,0.19398298770121386
Transitional_B_MME,1031,0.46862085516003876,0.2175551075209745,1527,0.47156539056974456,0.21782258975454014
Transitional_NK_GZMK,858,0.44791658201631707,0.20889665563778997,1335,0.436161768764045,0.204482574912336
Unswitched_Bm_CD1C,914,0.4649333108862144,0.20141025658618705,979,0.4755793558324821,0.19395206249998442
cMono_CD14,2847,0.41762205476290837,0.24968749191053943,31437,0.5026289828403474,0.27970368969228027
cMono_IFI44L,588,0.4319601258163265,0.21006918229262173,3679,0.505648507319924,0.2221718198827735
cMono_IL1B,518,0.4399505188996139,0.20838704064985622,110,0.7148488044545455,0.11490823493156292
gdT2_GZMH,1022,0.4365153485420744,0.2073415624288459,2019,0.4385526446953937,0.22170296540110387
gdT2_IL12RB2,1704,0.4483101841314554,0.2254569843727815,3090,0.4511438088058253,0.2350838801924521
intMono_GFRA2,351,0.4846524685470085,0.2060974337741669,2903,0.4953854504271443,0.21044752897859992
ncMono_C1QA,1436,0.4635052154665738,0.2213560694281502,2308,0.4863585068630849,0.20381123432618017
ncMono_FCGR3A,2112,0.44271959095170454,0.2356904263531194,9085,0.4985654138359934,0.24340005593575312
pDC_IRF4,1029,0.43787126499514095,0.21516343562297616,1746,0.4955232073654066,0.20704298763604168
pre-Switched_Bm_JAM3,988,0.45678533051619435,0.20719579573513458,167,0.5787798750898203,0.1335673614187224
