cell_type,caqtl_mean_rb,caqtl_cv,caqtl_entropy,caqtl_n_pairs,celltype,n_disease,eqtl_mean_rb,eqtl_cv,eqtl_entropy
Atypical_Bm_ITGAX,0.7979233173896104,0.11036492402499855,6.257518709057238,77,Atypical_Bm_ITGAX,19,0.8297992415670442,0.097378510625518,7.003606758753611
Bn_TCL1A,0.8020818065974027,0.12318520462053878,6.255259414958049,77,Bn_TCL1A,75,0.8229360669526663,0.101705626500852,7.003317377386281
CD4_CTL_GZMH,0.8391126140909091,0.12810650451676941,6.25434563336747,77,CD4_CTL_GZMH,30,0.8529778981161347,0.10490708880162644,7.002796723053499
CD4_Tcm_CXCR5,0.7049188116753247,0.21079840947442072,6.235591043948301,77,CD4_Tcm_CXCR5,42,0.854497581127869,0.10954088594307838,7.002046925347999
CD4_Tcm_IFI44L,0.8246497118831169,0.12758642812601695,6.254387592697731,77,CD4_Tcm_IFI44L,20,0.8622036955137443,0.10153614836886082,7.003240359917571
CD4_Tem_CCR7neg,0.8459183216103896,0.12575438819565785,6.254912048090525,77,CD4_Tem_CCR7neg,47,0.856696363789466,0.10884772311629652,7.002178323471336
CD4_Tfh-like_CXCR5,0.8740091347297299,0.09360583403785763,5.203149082375834,37,CD4_Tfh-like_CXCR5,82,0.8616198679565049,0.09542814238599882,5.947424252143984
CD4_Th1-like_GZMK,0.8775320899729729,0.09881092030982082,5.20239598576572,37,CD4_Th1-like_GZMK,76,0.8734843961243816,0.0855004137354488,5.948779532989816
CD4_Th17-like_RORC,0.8776999224054054,0.08027754372320778,5.204842186352303,37,CD4_Th17-like_RORC,52,0.8706308291365882,0.08108185512994383,5.949341976111124
CD4_Th_LMNA,0.7793615514155844,0.12250284727412736,6.255788923047835,77,CD4_Th_LMNA,18,0.8631423909866152,0.1048347044684743,7.002714694255969
CD4_Th_TNFRSF11A,0.728085744974026,0.17410525616907968,6.245367525125187,77,CD4_Th_TNFRSF11A,28,0.8605567943601099,0.10661072316891958,7.002502647302294
