regulon_clean,n_rg_pairs,n_unique_regions,n_unique_genes,mean_ct_breadth,max_ct_breadth,regulon,mean_RI,rank,stability_class
AHR_+,463,414,290,27.6231884057971,63,AHR_+,0.0013346503722171,126,intermediate
ARID3A_+,2930,2599,664,16.092727972297038,63,ARID3A_+,0.0012656835883466,128,intermediate
ARID5B_+,95,88,68,31.227272727272727,61,ARID5B_+,0.0014771209231436,108,intermediate
ARNTL_+,94,90,80,41.1,64,ARNTL_+,0.0027015701196101,32,stabilizer
ASCL2_+,635,565,266,18.936283185840708,63,ASCL2_+,0.0029521035708377,20,stabilizer
ATF3_+,2236,1988,444,13.899396378269618,62,ATF3_+,0.0014840740450669,107,intermediate
ATF4_+,2367,1972,1052,17.898580121703855,63,ATF4_+,0.0027606568064189,29,stabilizer
ATF5_+,1541,1363,486,13.553925165077036,63,ATF5_+,0.0015849899434009,95,intermediate
BACH1_+,3234,2919,837,14.582048646796848,62,BACH1_+,0.0014541065581958,112,intermediate
BACH2_+,332,313,193,23.5814696485623,63,BACH2_+,0.0007588188754103,166,destabilizer
BATF3_+,1278,1163,450,15.02493551160791,63,BATF3_+,0.0016761394120503,87,intermediate
BATF_+,1131,1033,396,23.91868344627299,63,BATF_+,0.003164480461777,15,stabilizer
BBX_+,63,60,54,21.6,59,BBX_+,0.0023243177106847,46,stabilizer
BCL11A_+,4709,4206,818,18.634094151212555,63,BCL11A_+,0.0009660985622704,150,intermediate
BCL11B_+,208,186,178,55.32258064516129,65,BCL11B_+,0.002635537319391,35,stabilizer
BCL6_+,20,18,20,26.22222222222222,52,BCL6_+,0.0006184187271841,174,destabilizer
BHLHE40_+,1257,1079,545,28.093605189990733,64,BHLHE40_+,0.0021166125106185,56,intermediate
BHLHE41_+,504,480,226,22.164583333333333,65,BHLHE41_+,0.0008604876551693,157,destabilizer
BNC2_+,274,237,133,24.966244725738395,62,BNC2_+,0.0011043034894926,141,intermediate
BPTF_+,956,915,482,29.95409836065574,63,BPTF_+,0.0020514468624116,64,intermediate
CEBPA_+,5733,4692,997,14.192455242966751,60,CEBPA_+,0.0013762343876398,119,intermediate
CEBPB_+,10285,8168,1444,14.175318315377082,63,CEBPB_+,0.0016697131663978,88,intermediate
CEBPD_+,4992,4398,730,14.051614370168258,63,CEBPD_+,0.0014253230313741,115,intermediate
CREB1_+,1026,963,531,30.523364485981308,63,CREB1_+,0.0010895560297831,144,intermediate
CREB5_+,138,116,120,18.948275862068964,57,CREB5_+,0.0010172762726587,148,intermediate
CREM_+,424,402,196,31.53233830845771,63,CREM_+,0.0023644835263051,43,stabilizer
CUX1_+,589,501,430,17.932135728542914,61,CUX1_+,0.0015562011311002,99,intermediate
E2F2_+,409,383,227,45.29503916449086,65,E2F2_+,0.0006710201004842,169,destabilizer
E2F3_+,216,211,60,34.28436018957346,63,E2F3_+,0.0011372720818742,139,intermediate
E2F5_+,162,138,133,32.166666666666664,63,E2F5_+,0.0005881471754936,177,destabilizer
E2F7_+,282,267,154,48.37078651685393,64,E2F7_+,0.0003181117712851,187,destabilizer
E2F8_+,282,256,161,48.51953125,64,E2F8_+,0.0004892388730705,180,destabilizer
EBF1_+,1684,1462,310,21.764021887824896,63,EBF1_+,0.0008032339638296,160,destabilizer
EBF4_+,11,11,11,28.363636363636363,54,EBF4_+,0.000518071069607,179,destabilizer
EGR1_+,59,59,27,24.966101694915253,62,EGR1_+,0.005736713895293,2,stabilizer
EGR3_+,11,10,11,19.7,35,EGR3_+,0.0003945763738337,183,destabilizer
EHF_+,435,396,54,11.982323232323232,58,EHF_+,0.0004468637467415,182,destabilizer
