eRegulon,stability_class,mean_RI,rank,mean_abs_age_rho,median_abs_age_rho,mean_age_rho,n_tests,n_significant
HSF1_+_(39g),stabilizer,0.0063219758744454,1,0.07341977261376947,0.055525441855992,-0.0575917612253052,61,25
EGR1_+_(27g),stabilizer,0.005736713895293,2,0.1238932883329056,0.116595498040027,-0.10328067438626136,61,33
KLF9_+_(418g),stabilizer,0.005693042811916,3,0.09956976300991736,0.0850830766209157,-0.07624022159715596,61,31
JUNB_+_(343g),stabilizer,0.0056610822497949,4,0.21764796465068184,0.219943093767608,-0.21764796465068184,61,54
JUN_+_(126g),stabilizer,0.0056322638225152,5,0.18601447110744557,0.180793473928823,-0.18601447110744557,61,56
PATZ1_+_(510g),stabilizer,0.0055266573595747,6,0.3506205238146821,0.366161556270449,-0.3506205238146821,61,59
ZEB1_+_(286g),stabilizer,0.0052449204733085,7,0.10175546072804582,0.0909751259020532,-0.05700216007567167,61,30
PHF1_+_(288g),stabilizer,0.004848008270943,8,0.23837696861560556,0.235752452428717,-0.23837696861560556,61,55
ZNF101_+_(471g),stabilizer,0.0042862241072661,9,0.19383537036527151,0.192891706079113,-0.19271040126819833,61,51
FOSB_+_(206g),stabilizer,0.0041162728801097,10,0.14346849553361604,0.135429834603427,-0.14175227815997532,61,43
SATB1_extended_+_(70g),stabilizer,0.0041042604695562,11,0.12725090285095628,0.126318154048429,-0.12531882754658943,61,39
ZBTB25_+_(600g),stabilizer,0.0035910335154758,12,0.2128970037301547,0.222755273750203,-0.21140465147132004,61,51
HIVEP2_+_(29g),stabilizer,0.003525985871639,13,0.06462003662793049,0.0625353297179796,-0.03265502445662876,61,18
JUND_+_(595g),stabilizer,0.0031952113085924,14,0.16220678470193525,0.153359652163554,-0.16212603862464972,61,51
BATF_+_(396g),stabilizer,0.003164480461777,15,0.16307355861919845,0.15971333467707,0.1630726787300432,61,45
KLF2_+_(838g),stabilizer,0.0031043459493656,16,0.2276315342967881,0.232311994013496,-0.2276315342967881,61,57
SP100_+_(47g),stabilizer,0.0030921154262271,17,0.09456350642459309,0.0971539657991468,0.07857867215219903,61,31
STAT5B_+_(219g),stabilizer,0.0030555709398201,18,0.07794092047229291,0.0607767686506892,0.019652632438806394,61,23
THRA_+_(55g),stabilizer,0.0030089730665231,19,0.10474824589371658,0.0997044127272498,-0.09567206520838369,61,30
ASCL2_+_(266g),stabilizer,0.0029521035708377,20,0.12911633834327366,0.114994332045586,0.12837455706802955,61,37
KLF6_+_(756g),stabilizer,0.0029310896948666,21,0.1189156352118913,0.117837349452601,0.10993319568896,61,37
ZNF639_+_(738g),stabilizer,0.002922322667481,22,0.2789867651751385,0.283620512954829,-0.27771107951832996,61,58
MYC_+_(434g),stabilizer,0.0029148687690159,23,0.16168132637695615,0.160750403873961,-0.13667815189803495,61,41
HMGA1_+_(733g),stabilizer,0.0028624059504926,24,0.07572893673323088,0.0603353657965282,-0.04922112702287807,61,22
NFIC_+_(37g),stabilizer,0.0028586834832165,25,0.1290356157308402,0.118950825163012,0.11503841355312236,61,38
FOXP1_+_(195g),stabilizer,0.0027978348648294,26,0.0758508244346997,0.0734106262151869,0.0371680846391069,61,24
RELB_+_(52g),stabilizer,0.0027839420417892,27,0.06730880225440139,0.0577996183030786,-0.04291976247294774,61,20
TCF7_+_(1069g),stabilizer,0.0027618552188645,28,0.29175783106135705,0.300680337156864,-0.29175783106135705,61,56
ATF4_+_(1052g),stabilizer,0.0027606568064189,29,0.06445652747077442,0.0587360206238422,-0.020061461447411513,61,18
KLF3_+_(841g),stabilizer,0.0027340698249628,30,0.09849965381649109,0.0894710871581075,-0.07011066076376717,61,29
HIF1A_+_(187g),stabilizer,0.0027244474992752,31,0.16905990536990406,0.17477295763581,-0.16399351794936043,61,46
ARNTL_+_(80g),stabilizer,0.0027015701196101,32,0.09309337023156185,0.0774891747616427,0.0571649077970648,61,30
NFIL3_+_(186g),stabilizer,0.0026766855011505,33,0.07224728985506966,0.0553573071680793,0.05523505608582651,61,19
ZEB2_+_(431g),stabilizer,0.0026623396444033,34,0.1498645934122481,0.142402120210058,0.14945891287370125,61,44
BCL11B_+_(178g),stabilizer,0.002635537319391,35,0.07129560442922622,0.0478596635074844,-0.04674323204685769,61,19
STAT4_+_(72g),stabilizer,0.0025427764995455,36,0.10118269352826521,0.100648467417125,0.09398406119108199,61,33
MBD2_+_(892g),stabilizer,0.0025259278609824,37,0.15339685949607232,0.158907914155625,0.1488613623765622,61,41
ZNF783_+_(189g),stabilizer,0.0025250643573973,38,0.10959931011568926,0.0993864220195906,0.06965367898001397,61,34
ZNF91_extended_+_(91g),stabilizer,0.002437562393457,39,0.21639115331838343,0.232492121884275,0.21639115331838343,61,55
NR2C1_extended_+_(19g),stabilizer,0.0024004705267364,40,0.07841110392216795,0.06540189164472,-0.05877082871887362,61,24
MAZ_+_(605g),stabilizer,0.0023882398366828,41,0.2296817476664979,0.228225307859192,0.2296817476664979,61,57
TGIF1_extended_+_(36g),stabilizer,0.0023806451181715,42,0.1276397120888354,0.121193081289397,-0.11731442729294683,61,36
CREM_+_(196g),stabilizer,0.0023644835263051,43,0.11440315583881293,0.099143206329258,-0.09495980137631306,61,36
PHF20_+_(555g),stabilizer,0.0023584524866375,44,0.0913280466318653,0.0930526942310511,0.08269114738658763,61,31
