cell_type_l4,mean_abs_log2FC,mean_abs_age_corr,perturbation_sensitivity
DC_CSF2RA,0.21342347784699453,0.1594331390947752,0.37285661694176975
CD8_Tcm_IFI44L,0.09128627849999998,0.26116792798941946,0.35245420648941944
CD8_CTL_GZMK,0.12036432995555556,0.1843909040892377,0.30475523404479327
Terminal_NK_dim_CD160neg,0.10815460437640449,0.1535066501184117,0.2616612544948162
gdT2_GZMH,0.12164473778021978,0.1383756204468176,0.2600203582270374
CD4_Tcm_IFI44L,0.11806478502209945,0.12686654534812186,0.2449313303702213
gdT2_GZMK,0.072796931,0.16393553258501364,0.23673246358501365
CD4_Th1-like_GZMK,0.12096547529729729,0.11374310007094963,0.2347085753682469
Proliferative_T_MKI67,0.11208523169060773,0.1212212889848089,0.23330652067541663
Plasma_IGHA1,0.12187323248913043,0.11099370176288406,0.2328669342520145
Mature_NK_dim_FCGR3A,0.08566106990760869,0.14107297965845234,0.22673404956606102
intMono_GFRA2,0.111562654625,0.1147734854306971,0.22633614005569708
CD4_Tfh-like_CXCR5,0.11248595507692308,0.11134489724318924,0.22383085232011232
HSPC_CD34,0.10212164206417111,0.12117256435817493,0.22329420642234604
CD4_Th17-like_RORC,0.12036209040983607,0.10293031047229008,0.22329240088212615
CD4_Tn_CCR7,0.10625097610869565,0.11434468051982524,0.22059565662852088
Proliferative_NK_MKI67,0.09608972470108697,0.12063098897510943,0.21672071367619639
CD4_Tr1_IL10,0.07665232156830601,0.13907433779711206,0.21572665936541807
CD8_Tem_CCR7neg,0.08782076763934427,0.12762072478362121,0.21544149242296548
CD8_CTL_GZMB,0.09404507584782608,0.1200351536824874,0.21408022953031347
Transitional_NK_GZMK,0.0753249615934066,0.1368710202649483,0.2121959818583549
NK_bright_XCL1,0.09990413629891304,0.11070874446896575,0.2106128807678788
CD4_Treg_FCRL3,0.0665362600786517,0.14211900569909222,0.2086552657777439
CD4_Th_CCR4,0.08966098906179776,0.11837923602725572,0.20804022508905348
CD4_Tem_CCR5,0.08790472030054644,0.11499192761045,0.20289664791099643
CD4_CTL_GZMH,0.05597914191111111,0.1468000944175621,0.2027792363286732
CD8_CTL_IFI44L,0.06137637044021739,0.13217055253219134,0.19354692297240872
gdT2_IL12RB2,0.08838346458791209,0.10454207876657853,0.19292554335449064
cMono_IFI44L,0.07123177735326088,0.1193546305000273,0.19058640785328818
CD4_Th_LMNA,0.1068205085359116,0.08327481762860306,0.19009532616451466
CD4_Tcm_CXCR5,0.07875937274585636,0.11039203844300811,0.18915141118886447
DC1_CLEC9A,0.1101675950860215,0.0776219774797084,0.18778957256572992
Bn_IFIT3,0.11384402273770493,0.07084558593624743,0.18468960867395234
Plasmablast_MKI67,0.10282993425806451,0.08117684240953686,0.18400677666760137
Transitional_B_MME,0.08166105353551913,0.10175676736438234,0.18341782089990147
CD4_Th22-like_CCR10,0.0558048035480226,0.1275776693969841,0.1833824729450067
cMono_CXCL10,0.07377978422702702,0.10950215828870133,0.18328194251572835
CD4_Treg_FOXP3,0.057578544477528096,0.1252462315100551,0.18282477598758318
MAIT_SLC4A10,0.080937496489011,0.09917369317719282,0.18011118966620382
ncMono_IFIT1,0.06516576005555555,0.11357916653900564,0.1787449265945612
CD4_Th_TNFRSF11A,0.07470357040883978,0.10284795328588649,0.17755152369472627
NKT_NCR1,0.05674299103825137,0.1187685427821775,0.17551153382042886
CD4_Tem_CCR7neg,0.09984613419125683,0.0745682791888461,0.17441441338010294
CD8_Tn_CCR7,0.09013296711475409,0.08141047045535346,0.17154343757010754
Bn_TCL1A,0.07995916786338798,0.09071094530120163,0.17067011316458963
AS_DC,0.08151818526630435,0.08877159195982086,0.1702897772261252
ncMono_C1QA,0.044605640216666666,0.12556831571123933,0.170173955927906
ILC2_IL2RA,0.10278725034224599,0.0665452194693331,0.1693324698115791
pre-Switched_Bm_JAM3,0.07602126290502793,0.09201549208367987,0.1680367549887078
cMono_CD14,0.056225920103260864,0.11160085878499777,0.16782677888825864
gdT1_TRDV1,0.06363252074725274,0.10366620049618383,0.1672987212434366
cMono_IL1B,0.036693817338888886,0.12829441132157662,0.1649882286604655
pDC_IRF4,0.07533244154444445,0.08695753179801059,0.16228997334245504
Switched_Bm_IGHE,0.05815965628729281,0.10035303971623534,0.15851269600352816
Plasma_IGHG1,0.06652039361956522,0.08630343802917992,0.15282383164874513
Unswitched_Bm_CD1C,0.04656013159550562,0.09562920067399754,0.14218933226950314
ncMono_FCGR3A,0.03850562528176795,0.10301544175638482,0.14152106703815276
Atypical_Bm_ITGAX,0.04991896819444445,0.09073864434923697,0.14065761254368142
Switched_activated_Bm_CD86,0.045452999458100565,0.08737093788282237,0.13282393734092293
Switched_Bm_IGHDneg,0.044746425765363126,0.08005160275449744,0.12479802851986056
