eRegulon,stability_class,mean_RI,rank,mean_abs_log2FC,median_abs_log2FC,n_tests,n_significant
HSF1_+_(39g),stabilizer,0.0063219758744454,1,0.0281255508852459,0.025693306,61,32
EGR1_+_(27g),stabilizer,0.005736713895293,2,0.036056311032786885,0.02687805,61,8
KLF9_+_(418g),stabilizer,0.005693042811916,3,0.009801857721311476,0.008832334,61,16
JUNB_+_(343g),stabilizer,0.0056610822497949,4,0.015855741,0.008493057,61,4
JUN_+_(126g),stabilizer,0.0056322638225152,5,0.0490651407704918,0.047639194,61,17
PATZ1_+_(510g),stabilizer,0.0055266573595747,6,0.006902881967213115,0.005512624,61,19
ZEB1_+_(286g),stabilizer,0.0052449204733085,7,0.02473763244262295,0.025783482,61,45
PHF1_+_(288g),stabilizer,0.004848008270943,8,0.006972046737704918,0.005142327,61,11
ZNF101_+_(471g),stabilizer,0.0042862241072661,9,0.010022436491803278,0.009396055,61,25
FOSB_+_(206g),stabilizer,0.0041162728801097,10,0.03907894585245902,0.032476433,61,17
SATB1_extended_+_(70g),stabilizer,0.0041042604695562,11,0.016787033967213115,0.014683068,61,9
ZBTB25_+_(600g),stabilizer,0.0035910335154758,12,0.011689428967213115,0.011407661,61,24
HIVEP2_+_(29g),stabilizer,0.003525985871639,13,0.022276658426229508,0.019176563,61,14
JUND_+_(595g),stabilizer,0.0031952113085924,14,0.016426987786885245,0.010692592,61,11
BATF_+_(396g),stabilizer,0.003164480461777,15,0.03220120001639344,0.025332896,61,14
KLF2_+_(838g),stabilizer,0.0031043459493656,16,0.04801772401639344,0.046993351,61,50
SP100_+_(47g),stabilizer,0.0030921154262271,17,0.04124620759016394,0.036072313,61,16
STAT5B_+_(219g),stabilizer,0.0030555709398201,18,0.026445458147540984,0.026178762,61,37
THRA_+_(55g),stabilizer,0.0030089730665231,19,0.018260164,0.014799863,61,15
ASCL2_+_(266g),stabilizer,0.0029521035708377,20,0.05226777329508197,0.05178824,61,28
KLF6_+_(756g),stabilizer,0.0029310896948666,21,0.012146042590163934,0.006865463,61,6
ZNF639_+_(738g),stabilizer,0.002922322667481,22,0.007663979803278689,0.006095385,61,10
MYC_+_(434g),stabilizer,0.0029148687690159,23,0.008585272803278688,0.007442867,61,20
HMGA1_+_(733g),stabilizer,0.0028624059504926,24,0.013691181016393442,0.010408523,61,20
NFIC_+_(37g),stabilizer,0.0028586834832165,25,0.04198902927868853,0.033631035,61,19
FOXP1_+_(195g),stabilizer,0.0027978348648294,26,0.044056016950819676,0.04030818,61,29
RELB_+_(52g),stabilizer,0.0027839420417892,27,0.019206407737704916,0.012081725,61,4
TCF7_+_(1069g),stabilizer,0.0027618552188645,28,0.011778808081967214,0.01087673,61,22
ATF4_+_(1052g),stabilizer,0.0027606568064189,29,0.01491469075409836,0.011897659,61,15
KLF3_+_(841g),stabilizer,0.0027340698249628,30,0.010716344655737705,0.00898757,61,9
HIF1A_+_(187g),stabilizer,0.0027244474992752,31,0.02405864801639344,0.020960947,61,18
ARNTL_+_(80g),stabilizer,0.0027015701196101,32,0.03505252031147541,0.025311893,61,23
NFIL3_+_(186g),stabilizer,0.0026766855011505,33,0.04366627385245902,0.04303861,61,21
ZEB2_+_(431g),stabilizer,0.0026623396444033,34,0.03773446952459016,0.037377626,61,28
BCL11B_+_(178g),stabilizer,0.002635537319391,35,0.017647064475409837,0.016223696,61,20
STAT4_+_(72g),stabilizer,0.0025427764995455,36,0.03251999329508197,0.02250927,61,12
MBD2_+_(892g),stabilizer,0.0025259278609824,37,0.009952920213114754,0.007673527,61,10
