lineage_1,lineage_2,rho,p_value,n_shared
T_cell,B_cell,0.5364779003133603,1.4014914037656533e-14,177
T_cell,Myeloid,0.23656394453004623,0.001572269920414076,176
T_cell,NK_ILC,0.7602534582157512,1.2978660251312381e-34,177
B_cell,Myeloid,0.5141183949451946,8.369911946414003e-14,184
B_cell,NK_ILC,0.5850400789460016,1.2220250595644944e-17,177
Myeloid,NK_ILC,0.24912570765741593,0.0008263999647872405,177
Global,T_cell,0.4933429942939951,1.486103588340184e-12,182
Global,B_cell,0.5024211031801165,2.737442086697492e-13,186
Global,Myeloid,0.6806840662264781,8.512142700123422e-27,187
Global,NK_ILC,0.39915061842423494,2.384929746718555e-08,182
