regulon,mean_RI,max_RI,std_RI,mean_AUC,max_AUC,n_active_cell_types,rank,lineage
HOXA6_+,0.01033004601024907,0.6183018363346808,0.07849180234240975,0.0017882246885245901,0.105368081,1,1,Global
ZBTB8A_+,0.010124298890786702,0.6023537149355738,0.07646302660977276,0.0008803654213114754,0.051353014,1,2,Global
HOXA9_+,0.009127406895846388,0.5196390556869903,0.06599320506855931,0.0004466463934426229,0.024384212,1,3,Global
GATA1_+,0.008819330290302359,0.4931810903180778,0.0625629574971066,0.000946828,0.050338813,1,4,Global
PBX1_+,0.0075939724582746145,0.3687036594211824,0.04707482828272342,0.0013825589672131148,0.062008928,2,5,Global
MYCN_+,0.006618125607277295,0.2501834302549304,0.031629549360891365,0.001560768131147541,0.053347152,1,6,Global
FOSL1_+,0.00633863371643204,0.19647207923278348,0.025770342436209428,0.005055799114754098,0.143138503,8,7,Global
TAL1_+,0.006247394150960967,0.1889266355518386,0.023851937226031024,0.001547173737704918,0.042439344,1,8,Global
EGR3_+,0.005944729778015906,0.10435710221891918,0.01518000316160988,0.013866892491803279,0.228788326,11,9,Global
FOXM1_+,0.005923301575316919,0.08419767300209986,0.014422645361094132,0.008953813442622948,0.121662806,11,10,Global
SCX_+,0.005911539089609435,0.0871661809982103,0.013951599139003111,0.008682914442622952,0.121772077,10,11,Global
HLX_+,0.005846231455033047,0.04728905930607942,0.011309861174992556,0.03224448652459017,0.255561568,20,12,Global
ZNF697_+,0.0058429623482820344,0.04825413998461555,0.011168126520254033,0.013132863950819671,0.106106521,14,13,Global
ETV7_+,0.005825791690955063,0.054173923972703195,0.010387987664851925,0.009229723540983609,0.083211472,12,14,Global
E2F7_+,0.005817317999274851,0.061480566494738945,0.010032069521474087,0.008797580426229508,0.08934022,5,15,Global
BCL6_+,0.005810173102681357,0.03411273709884953,0.009589336136030337,0.020337985147540986,0.117869863,19,16,Global
KLF8_+,0.005801884576897391,0.03211639232760672,0.009163368245742034,0.018704928262295077,0.102271916,15,17,Global
PLAG1_+,0.005800035909165755,0.046025359347732796,0.009080870089417357,0.0049550488196721315,0.038272735,8,18,Global
POU2AF1_+,0.0057909633407628005,0.028396341793147716,0.008558662151166475,0.01810518655737705,0.087863487,16,19,Global
PAX5_+,0.005789458517349434,0.033321732939092435,0.008480462377504766,0.024012783081967214,0.136051413,26,20,Global
EBF1_+,0.005785560590183188,0.030519016157256107,0.008249723388934482,0.02436742783606557,0.126814959,28,21,Global
ZNF367_+,0.005780171690793487,0.04921772666145918,0.007973400938342019,0.009810661032786884,0.080767619,8,22,Global
HES6_+,0.005776354229459186,0.031909628779188556,0.007683234340334818,0.03167521913114754,0.172110641,31,23,Global
EBF4_+,0.0057728627464813005,0.0339589821958684,0.007463265403480013,0.015590154131147541,0.089960591,34,24,Global
BNC2_+,0.0057708602783428965,0.03130584212432148,0.0073294468092274245,0.03414749619672131,0.18214677,43,25,Global
ZNF107_+,0.005769095566411348,0.03072252114641333,0.007215385947884188,0.026374715442622952,0.138147676,44,26,Global
CREB5_+,0.005768388823816403,0.026042939872771786,0.0071611610668952915,0.03317083827868853,0.147994771,52,27,Global
MITF_+,0.005768034475387675,0.02748071643544728,0.00714054644398695,0.05238882483606557,0.246275307,61,28,Global
SMAD1_+,0.005766504655464673,0.037126771458533506,0.007052393088670247,0.025935181508196722,0.163081176,40,29,Global
HES1_+,0.005763860217037973,0.0227879817499259,0.006835922012245992,0.01872498532786885,0.073348287,27,30,Global
VENTX_+,0.005762271027946767,0.022980062075029804,0.006732252126412813,0.05200305032786886,0.205379123,61,31,Global
SOX4_+,0.005761301442142289,0.022834410892975825,0.006656676653805683,0.020097008983606553,0.07887929,31,32,Global
MAFB_+,0.00575941247847847,0.022214712865479408,0.006524932827564717,0.03982869680327869,0.152179852,61,33,Global
BHLHE41_+,0.005758934503290251,0.021685024809778804,0.006485503513355701,0.025193500475409834,0.094017124,46,34,Global
E2F5_+,0.005758715816423958,0.0269607528037755,0.006476488957898853,0.017634652606557378,0.081374174,20,35,Global
RORC_+,0.005758196937060477,0.0385664771737909,0.006440708110913965,0.007693948163934426,0.050181267,18,36,Global
PLAGL2_+,0.005758069624509212,0.029340821023181606,0.006431888760196411,0.03792735129508197,0.189995722,61,37,Global
TFEC_+,0.005757196698148661,0.022400651872587083,0.0063463055874382395,0.02536364449180328,0.097703264,27,38,Global
ZNF467_+,0.005757171719906647,0.024435028758018434,0.006355339929361262,0.03631640604918033,0.152278313,61,39,Global
SOX13_+,0.00575647516933348,0.023673167369714046,0.00629780682083242,0.050045538786885245,0.203463481,61,40,Global
MYBL2_+,0.005756089543330744,0.034034095447753675,0.0062858501060529875,0.02421749393442623,0.140041566,43,41,Global
NFE2_+,0.005752730485692735,0.024864393565668632,0.006009897522058074,0.033819363754098365,0.14423568,61,42,Global
TCF4_+,0.005752164868024402,0.026617117360014892,0.005957757293766067,0.019707349426229512,0.089811354,26,43,Global
JDP2_+,0.005750789827836189,0.02249945535731727,0.005848674960744577,0.03845684604918033,0.148777757,61,44,Global
SPIB_+,0.005748946102775317,0.01992534019996575,0.005689479669112807,0.02370704324590164,0.081439124,33,45,Global
VDR_+,0.0057485275993468185,0.02472611423475143,0.005657323577414287,0.04688549673770492,0.198877627,54,46,Global
E2F8_+,0.00574820552195664,0.03537943075521872,0.005654201349656904,0.013951145114754098,0.083747359,44,47,Global
TCF7L2_+,0.005748023182571518,0.0275570421827802,0.0056216534337906006,0.03162152098360656,0.14905112,61,48,Global
ATF3_+,0.00574447047018696,0.02183206867885742,0.005298725554251881,0.04750476432786884,0.17845325,61,49,Global
EHF_+,0.005743063552029826,0.03333406945333089,0.005179697333077922,0.013732289786885248,0.077832099,34,50,Global
POU4F1_+,0.005742803499969766,0.025700734020506273,0.0051433938855268094,0.045828797754098365,0.201854128,61,51,Global
E2F3_+,0.0057421332907322715,0.018923522599084985,0.0050724202930601476,0.03387213988524591,0.110622965,43,52,Global
NCOA3_+,0.005741933608971459,0.019774159449244887,0.005059869073514625,0.03431147203278688,0.11699178,57,53,Global
KLF4_+,0.005740647058380794,0.01819344987909814,0.00493558809812351,0.04526895886885245,0.142247542,61,54,Global
ETS2_+,0.0057406440797551275,0.01809667382155783,0.00493527294458921,0.04266279062295082,0.133358523,61,55,Global
CEBPA_+,0.005739868850213795,0.018073329022854665,0.004859097401014306,0.04377405867213115,0.136658999,61,56,Global
IKZF2_+,0.005739565896425776,0.019389862139545386,0.0048266071243803395,0.016448881786885246,0.05501764,28,57,Global
PRDM4_+,0.005739419660577827,0.019947898529399162,0.004815995197296117,0.01970595685245902,0.067769532,58,58,Global
