,AT2,AT1,Transitional AT2,Ciliated,Basal,KRT5-/KRT17+,Differentiating ciliated,Proliferating - Epi,Secretory - SCGB1A1+/SCGB3A2+,Secretory - SCGB3A2+,Secretory - SCGB1A1+/MUC5B+,Alveolar macrophage,Monocyte-derived macrophage,Monocyte,Interstitial macrophage,cDC1,Mast,Plasma,Proliferating - Imm,Inflammatory monocyte,CD4,CD8/NKT,pDC,moDC,NK,B cells,cDC2,Venule,Systemic venous,Lymphatic,aCap,gCap,Arteriole,Alveolar FB,Pericyte,SMC,Adventitial FB,Mesothelial
AT2,1.0,0.9195023356737854,0.9574203470729962,0.8504682067030102,0.9288575255682965,0.9089214947872475,0.8920029555245137,0.9267628944089881,0.9454085158305031,0.956416829168278,0.9394850355644412,0.6828450506707997,0.6908982505030922,0.7049473400380442,0.7570302913048934,0.7478839460881607,0.7295019580788118,0.812601016805092,0.7021644799864268,0.6917074113307657,0.7958516677138672,0.778388727048793,0.7817142550357654,0.6849024849565698,0.7805508270573418,0.7640716030134895,0.7039288825802973,0.8660470666423354,0.8745544104906045,0.8075269209700575,0.8407925426504573,0.8336651976624011,0.844256399982646,0.8575018894662036,0.8145561331207479,0.8032881370917502,0.8769005381853283,0.8740720931752455
AT1,0.9195023356737854,1.0,0.9255019937750208,0.8600534754422778,0.8982509745076807,0.9032045209847958,0.881341351118496,0.9055537624536054,0.9181446841953357,0.9258674705383463,0.9139460782732522,0.6547271683869297,0.6536171500516637,0.6616186103992736,0.7135195049842072,0.7361164478097179,0.6966686874084351,0.8049263316261477,0.6713547320674759,0.6611875913957237,0.7782274369185455,0.7610540108110272,0.7621750940533606,0.6532010039750255,0.764524067936701,0.7564292799555673,0.6855535407650283,0.8617319806533481,0.8761480993703575,0.8496404459041794,0.8600930731244688,0.8542279991039005,0.8608979822757982,0.8793410874503178,0.8426859027221861,0.8340935868627403,0.9037463279072986,0.8950184480166674
Transitional AT2,0.9574203470729962,0.9255019937750208,1.0,0.8644234740350852,0.9382319511840399,0.9215609914705594,0.9085412026273854,0.9417444951386791,0.9488589048699451,0.9611583484573749,0.9463304611693065,0.66458782273009,0.6750519315172494,0.694981158793929,0.7471652708895145,0.7374938105438708,0.7246868818116097,0.828405967818872,0.6905536829769767,0.6800226914285874,0.8086198702711498,0.7875282435468035,0.7926926780330781,0.6710063711362172,0.7874125440250942,0.7753210550486156,0.6894477263838886,0.878468191005157,0.884681186020817,0.8134524754912819,0.8439900714576447,0.8460172432739126,0.8495012789674865,0.8657474794080242,0.8128304641907893,0.8104330201049521,0.8760074268955141,0.8769140245998578
Ciliated,0.8504682067030102,0.8600534754422778,0.8644234740350852,1.0,0.8981236982827626,0.8197666159880891,0.9452995215825418,0.8881438949124383,0.8994935972285674,0.8795603010686501,0.9074325770414303,0.6379667048953623,0.6404951097638997,0.6665676386995754,0.6958080540405654,0.7336238628642278,0.667335654042952,0.7811577081702475,0.6621837842306352,0.6522460994175736,0.766810205285175,0.7684349633692655,0.7556407971503964,0.6343189468901455,0.7348962236424957,0.7154396861935932,0.6747973554704546,0.8154739283202356,0.8231933160182756,0.767921359339281,0.7981198805430685,0.7937239694109298,0.7753192554480872,0.7949167753699837,0.7269324023888215,0.7304335468325736,0.7957687922565172,0.8472184885936288
Basal,0.9288575255682965,0.8982509745076807,0.9382319511840399,0.8981236982827626,1.0,0.9108091919577481,0.9274596040689725,0.9355183383633556,0.9500250787761233,0.9451195953451021,0.9547861626576617,0.6757191037761718,0.6855643191191202,0.7196439784056314,0.76016200941936,0.7597413679808251,0.7423044460010162,0.8512460512307175,0.7100576048230691,0.6966979856080461,0.8319115973813062,0.8211398056711122,0.82013528667785,0.6853934785929614,0.8119066948019609,0.7915127792515344,0.7154636381389575,0.8886626389245963,0.8900310467780751,0.8167962231608507,0.8476790197510966,0.8503362055654443,0.8519578290463209,0.8558227746134762,0.7968781243799818,0.8043574986107471,0.8639280410389149,0.8899344444476479
KRT5-/KRT17+,0.9089214947872475,0.9032045209847958,0.9215609914705594,0.8197666159880891,0.9108091919577481,1.0,0.8628750688871435,0.906815534056874,0.9105780050483755,0.9176891757112808,0.9057293670823178,0.6901901885399593,0.6982881963053811,0.724788758704541,0.7668311677154415,0.7539655180102219,0.7635567224872976,0.8568684545057684,0.7236716446324765,0.7078927326258001,0.8353298124575579,0.8224922973867401,0.8210963758346109,0.7017242694138348,0.8309502839323206,0.8208880684427189,0.7238667981066682,0.8971264086576786,0.8950349281548117,0.8422416530875964,0.8652946306018529,0.8690746490239086,0.8751732122791608,0.876404199336224,0.8442475983609281,0.8459992139051753,0.8837075959640602,0.8867581657478423
Differentiating ciliated,0.8920029555245137,0.881341351118496,0.9085412026273854,0.9452995215825418,0.9274596040689725,0.8628750688871435,1.0,0.9310183042419269,0.9359379399923827,0.9228726777971206,0.9387553419902556,0.6024879850368492,0.6059371934807076,0.6408389887693461,0.6800907454946455,0.7007363376426519,0.6551113505186946,0.7922594380585543,0.6306398276023003,0.6229339287597172,0.7743684069513812,0.7659129305739538,0.7602823363061629,0.6065734942786015,0.7440582659498417,0.7191599110777325,0.6427808340125908,0.8369243536069902,0.8349889141060982,0.768970411369898,0.8043275757445695,0.8101817392507977,0.7903767819069187,0.8121849890292588,0.7389733867047759,0.7387775782174066,0.8156843955261621,0.8674401504288092
Proliferating - Epi,0.9267628944089881,0.9055537624536054,0.9417444951386791,0.8881438949124383,0.9355183383633556,0.906815534056874,0.9310183042419269,1.0,0.9473694137197096,0.9427301606450078,0.9434983879806524,0.622949734692772,0.631532252681833,0.6692874050710003,0.7090366638444807,0.716144126982608,0.7004707705369448,0.8277381507750784,0.669105814561204,0.6458341308579202,0.8073134501921317,0.7923510087109205,0.7878467410798353,0.632425537708702,0.7841457616766442,0.7596544604116603,0.6601573027130826,0.8719451180614535,0.8708651765363801,0.8025122506902834,0.8350671560835279,0.8467033258222277,0.8399399035536211,0.8433187341250213,0.7830764494242294,0.7839565382331356,0.8594180476602518,0.8822470429651179
Secretory - SCGB1A1+/SCGB3A2+,0.9454085158305031,0.9181446841953357,0.9488589048699451,0.8994935972285674,0.9500250787761233,0.9105780050483755,0.9359379399923827,0.9473694137197096,1.0,0.9608366771851431,0.9626698367800468,0.6638630463152138,0.6713336897841479,0.7000306688338334,0.744715441315439,0.7437031089252545,0.7264492943518642,0.8341987883720612,0.6899633258344752,0.6809843190363272,0.8193823547473897,0.8014391765777817,0.8014904812487317,0.6718489853464531,0.7939974925042136,0.7786842704505396,0.6984436599167209,0.8864687910148695,0.8884107405589426,0.8165820608076493,0.8512145609379368,0.8505867815220575,0.8506341536939054,0.8674620177981714,0.8118423047039446,0.8037409453440727,0.874888902793026,0.8982827577659186
Secretory - SCGB3A2+,0.956416829168278,0.9258674705383463,0.9611583484573749,0.8795603010686501,0.9451195953451021,0.9176891757112808,0.9228726777971206,0.9427301606450078,0.9608366771851431,1.0,0.9557602780282128,0.678401576683764,0.6861295730086222,0.7054963366767029,0.7560662041446784,0.7449761291360779,0.7293349795153631,0.8286641754433315,0.6991603658538473,0.6917828226174809,0.8116222562928618,0.7937282250754535,0.7966572248031923,0.6817063850164294,0.7916159828005268,0.7736377172202455,0.701303008182397,0.8777019892612135,0.8823554180141929,0.8148917090031901,0.8485215068301745,0.8431698419602104,0.8479948454296813,0.8614829548950828,0.8122165066683542,0.8003022724016987,0.8780197879841473,0.8857067919825595
