layer,metric,subset,n_samples,rho,p_value
TOPPLE,Stabilizer expression,all,30,0.44640389051240653,0.01340659065918015
TOPPLE,Destabilizer expression,all,30,0.3728257618249345,0.04244795244452903
TOPPLE,Stabilizer/Destabilizer ratio,all,30,0.4035580899657384,0.027003256290714088
TOPPLE,Stabilizer expression,diseased,23,0.16228449717809132,0.4594139167620441
TOPPLE,Destabilizer expression,diseased,23,0.243674887200131,0.26252321081399577
TOPPLE,Stabilizer/Destabilizer ratio,diseased,23,0.07742012709413532,0.7255014819608775
DGSA_proxy,Immune entropy,all,30,0.38404193997851255,0.03615219712637016
DGSA_proxy,Immune entropy,diseased,23,0.47891296567846525,0.020778317673205295
SICAI,Coupling strength,all,30,-0.14827787519030186,0.4342268322289669
SICAI,Coupling strength,diseased,23,0.011414505917725077,0.9587751161603327
IPA_proxy,Ratio deviation from healthy,all,30,0.1866372044755388,0.32338305254812766
IPA_proxy,Ratio deviation from healthy,diseased,23,-0.032754669155211094,0.8820546689906615
STRATA,Fibroblast entropy,all,30,-0.33110157909362414,0.07389609808713742
STRATA,Fibroblast entropy,diseased,23,0.10868594765138226,0.6215615604987017
