cell_type,coupling_complexity,mean_rb,max_rb,std_rb,coupling_breadth,concentration,n_disease_associations
Atypical_Bm_ITGAX,6.0548783330149805,0.8434928301984557,0.945810612061294,0.05538826136374808,62,0.07858165160403352,9
NK_bright_XCL1,6.054863558569973,0.8427840426591575,0.941338047455835,0.07805446547202112,56,0.07986187912700382,7
Plasma_IGHG1,6.049796821206925,0.7643490579685233,0.920038738317151,0.08076887121540045,30,0.09823893992642596,5
Unswitched_Bm_IL6,6.04910485918987,0.820575080192674,0.949257876972485,0.07964811148639654,48,0.09665125049024126,1
Plasma_IGHA1,6.048913503657865,0.783530318274808,0.920038738317151,0.07130609950179932,32,0.09561739253005763,6
Switched_Bm_IGHDneg,6.048909444453319,0.8414502900772148,0.963679855059546,0.08885805762716645,55,0.08905046244793524,9
DC_CSF2RA,6.048814586999391,0.7977304555654079,0.908283918035808,0.07050375969992563,41,0.08959754399474906,1
Unswitched_Bm_CD1C,6.048413810856645,0.8391411878320917,0.965048165049285,0.08785120639723061,55,0.09295476390766366,7
Switched_Bm_IGHE,6.0479778595972515,0.8362277615226117,0.960820736696274,0.0893431206112592,56,0.09156632822378385,9
Switched_activated_Bm_CD86,6.047448002869762,0.8372934664501451,0.955354046346142,0.08358971795027532,53,0.09306695932114284,10
Bn_TCL1A,6.044316719149061,0.8222740975334178,0.967411937530657,0.06968938777213528,46,0.10925456411656442,23
pDC_IRF4,6.04421341274441,0.7777175505360578,0.855212826105701,0.07706191231990467,38,0.091251536843028,7
Transitional_B_MME,6.044210979215704,0.8270391828368312,0.967411937530657,0.09047932317693107,51,0.10213422964844499,17
cMono_CXCL10,6.043954479676699,0.7601052463611107,0.933750968539689,0.07847589250953357,17,0.11016741303667388,2
DC2_CD1C,6.043844507498371,0.8115668240959026,0.925811917434868,0.08071106416003992,51,0.0938663704807754,23
cMono_IL1B,6.042645356205494,0.7814836916124493,0.965932638620385,0.08503439189231966,23,0.10784837504644307,9
cMono_IFI44L,6.042401960068128,0.7905100642181792,0.965932638620385,0.08537056657787906,32,0.10807413576437652,21
gdT1_TRDV1,6.039712771531835,0.8397035890481538,0.938670150406151,0.09094726574858232,53,0.10616960603454795,5
CD4_Th_CCR4,6.03968799978854,0.8766026790641638,0.950611515817779,0.05016047854556924,67,0.12223399045475036,8
ncMono_FCGR3A,6.038674020055457,0.8040929208562,0.97193530429262,0.0841976479668037,46,0.10350961988153196,20
intMono_GFRA2,6.0382332315633755,0.7744603415940221,0.947883717435248,0.08719139467317912,21,0.11419623024356562,8
ncMono_C1QA,6.037731566648651,0.8002437193049888,0.97193530429262,0.08656761649728818,44,0.10653910591000704,9
ncMono_IFIT1,6.035815130422073,0.7587618804908761,0.952180707211357,0.08715585861499185,17,0.11709135976941776,3
NKT_IFNG,6.035466899036501,0.8158248191911819,0.952891257059376,0.09119757381230204,40,0.12355842378005744,1
CD4_Tem_CCR7neg,6.034711901277597,0.8742390818826428,0.96470870317856,0.07316813462942504,57,0.12788404650887053,24
gdT2_GZMK,6.034671270601858,0.8496049706704529,0.958475255168987,0.09715769108713994,55,0.11593595415067726,9
CD8_Tem_CCR7neg,6.033951733949872,0.8702125589204428,0.967881824173599,0.0794283507830535,55,0.1282209584708498,32
MAIT_SLC4A10,6.03325146277032,0.857142704351027,0.964272590913378,0.08611447815218999,51,0.12836522248076476,30
CD8_Tn_CCR7,6.032542547452028,0.8508061610819492,0.975479209035754,0.08627171947605859,50,0.13215757355893099,32
NKT_NCR1,6.032209550494013,0.843104918672579,0.974040973021619,0.08722025913528796,50,0.13216610213780133,30
Proliferative_T_MKI67,6.032133352097484,0.8477562619021387,0.930394696831166,0.04870709509996082,58,0.13064884742270788,5
CD4_Tn_CCR7,6.0313589988485825,0.8406952949981294,0.975479209035754,0.089451117966141,47,0.13471089564957506,33
CD8_CTL_GZMB,6.030919564052224,0.8484487724610495,0.964502702984168,0.08334947645291932,49,0.13471559282852563,34
Transitional_NK_GZMK,6.02919115202502,0.8358526866533501,0.956764128343979,0.0976016327982477,49,0.12841114729523762,11
CD4_Tn_CXCR5,6.0289016565408735,0.8746675125220061,0.965534623682969,0.06616189779367021,61,0.13818497708991373,7
CD4_Tcm_CXCR5,6.028639088954632,0.871932327538619,0.965534623682969,0.0730861464360935,57,0.13862053023802112,21
CD4_Treg_FCRL3,6.02823363931035,0.8692240581887037,0.957746559082895,0.06829814097139622,56,0.1364549704808904,8
gdT2_GZMH,6.026534177253263,0.8449703380485826,0.966103086420237,0.10517093373838712,52,0.12835596442703334,24
cMono_CD14,6.0257734346400715,0.8069728222024011,0.961612213624279,0.08491649059002383,44,0.12544340356727468,42
gdT2_IL12RB2,6.024365149723783,0.8523158618767083,0.967881824173599,0.10253709981492465,52,0.13410727553507573,18
Terminal_NK_dim_CD160neg,6.024077677952301,0.819232465643596,0.949454920521334,0.09505934646801661,46,0.13352796337460926,6
CD8_Tcm_IFI44L,6.023811702588929,0.8799195440242668,0.965195153075764,0.061973071942724035,61,0.14081969582192344,8
