,Atypical_Bm_ITGAX,Bn_IFIT3,Bn_IL6,Bn_TCL1A,CD4_CTL_GZMH,CD4_Tcm_CXCR5,CD4_Tcm_IFI44L,CD4_Tem_CCR7neg,CD4_Tfh-like_CXCR5,CD4_Th1-like_GZMK,CD4_Th17-like_RORC,CD4_Th22-like_CCR10,CD4_Th_CCR4,CD4_Th_CR1,CD4_Th_LMNA,CD4_Th_TNFRSF11A,CD4_Tn_CCR7,CD4_Tn_CXCR5,CD4_Tn_LIMS1,CD4_Tn_SOX4,CD4_Tr1_IL10,CD4_Treg_FCRL3,CD4_Treg_FOXP3,CD8_CTL_GZMB,CD8_CTL_GZMK,CD8_CTL_IFI44L,CD8_Tcm_IFI44L,CD8_Tem_CCR7neg,CD8_Tn_CCR7,CD8_Tn_SOX4,DC1_CLEC9A,DC2_CD1C,DC_CSF2RA,HSPC_CD34,ILC2_IL2RA,Immature_T_CABP4,MAIT_SLC4A10,MK_GP9,Mature_NK_dim_FCGR3A,NKT_IFNG,NKT_NCR1,NK_bright_XCL1,Plasma_IGHA1,Plasma_IGHG1,Plasmablast_MKI67,Proliferative_NK_MKI67,Proliferative_T_MKI67,Switched_Bm_IGHDneg,Switched_Bm_IGHE,Switched_activated_Bm_CD86,Terminal_NK_dim_CD160neg,Transitional_B_MME,Transitional_NK_GZMK,Unswitched_Bm_CD1C,Unswitched_Bm_IL6,cMono_CD14,cMono_CXCL10,cMono_IFI44L,cMono_IL1B,gdT1_TRDV1,gdT2_GZMH,gdT2_GZMK,gdT2_IL12RB2,intMono_GFRA2,ncMono_C1QA,ncMono_FCGR3A,ncMono_IFIT1,pDC_IRF4,pre-Switched_Bm_JAM3
Atypical_Bm_ITGAX,1.0,0.91103278482126,0.9082347100226,0.922303461898519,0.843009550477209,0.842042173163844,0.852550852231823,0.843871196720404,0.845327890624477,0.856330722501327,0.850579681121739,0.860983880752777,0.859490077099999,0.859131040521524,0.848211310148909,0.851704432780863,0.838846175253001,0.845065967235676,0.852728611558558,0.852305403334726,0.838450869548923,0.835780026704183,0.843968622677613,0.832722925880978,0.855640070349889,0.854501570831973,0.849184668474445,0.844942510170666,0.837516866552294,0.853834795611119,0.79644693199577,0.825760266198016,0.841832927889133,0.817667512323721,0.86582937133126,0.819179307271528,0.839062418176018,0.528072792966114,0.824511891682078,0.841048623438395,0.82535770832045,0.860794680728783,0.834946221158394,0.832275230601651,0.721886001342465,0.811872865597854,0.804561096995682,0.932928388746421,0.929357544041426,0.927595794607778,0.824793018683367,0.92371482916463,0.851775410947466,0.941281225602403,0.928429073680341,0.821935760867591,0.796431144149075,0.801929364584786,0.797049397401897,0.843010418408155,0.844570355294349,0.86190183807628,0.846464779407524,0.794224536967785,0.821942593046995,0.824159372697714,0.800109502470111,0.816698795498957,0.945810612061294
Bn_IFIT3,0.91103278482126,1.0,0.944462295724109,0.929321388045531,0.818812513461155,0.761025005200917,0.819628882151545,0.767125321640303,0.77571825162653,0.804968335196436,0.783904342327015,0.860411248692463,0.829073169074047,0.864757792445351,0.79668482545198,0.802783578308149,0.738890388250699,0.807201771805435,0.795855775196264,0.758770095959369,0.866174084869589,0.786673205418049,0.788196772512406,0.776481586617385,0.794008923337145,0.833992798160738,0.78548394459365,0.785570241454691,0.758490267422277,0.789437868664244,0.79342106430272,0.790621776265913,0.802116339955092,0.806660602424897,0.83529231921138,0.818606917760608,0.774626479404781,0.721547835726549,0.767961220149757,0.807986178722261,0.785598775838906,0.860621316375288,0.828476611384538,0.821774914154087,0.695268276166554,0.809036971279945,0.763189025730425,0.913245955459369,0.910420628964432,0.893651861082745,0.798776863889674,0.929874662684524,0.798274657331144,0.926032432183568,0.918479313474494,0.756393502885714,0.770293897038619,0.800860170561159,0.783084169614707,0.831385559798521,0.803377643574756,0.842180649621463,0.777632520260253,0.750439942807727,0.798586609716067,0.799190844545046,0.784900470758007,0.744198288936384,0.924072388906855
Bn_IL6,0.9082347100226,0.944462295724109,1.0,0.946769082092724,0.799405172371864,0.797001714859645,0.820454514798758,0.784450053516521,0.802604941040179,0.823192458722226,0.808108042024333,0.855469309254377,0.8280923150841,0.831505906936513,0.799399393330007,0.807292427256077,0.776910429493455,0.805146728179588,0.821603688879505,0.783539983323647,0.83839841504433,0.79905128888886,0.793331705433587,0.779481401471427,0.795255778961827,0.834168739212732,0.789398937331021,0.797217936615453,0.78810716978713,0.830859300791909,0.759993098360697,0.792983668496863,0.810814851127284,0.791821188784815,0.84723823265126,0.806720746597728,0.782897350665637,0.648316049366226,0.768487605592572,0.808689520969364,0.779606146399785,0.842440117303143,0.822758531712722,0.802399986437822,0.723447228507936,0.790329720743522,0.78283306483139,0.924005389079571,0.926815020089866,0.908866945908131,0.781374155016324,0.948135428344402,0.791304793135352,0.93162888356467,0.924782449584514,0.765598352352616,0.758453910364032,0.804023240673026,0.782980378114387,0.83171787577074,0.784591428381469,0.81136348374753,0.788681082071717,0.76317917132872,0.781618411351287,0.773017908774966,0.765309066149381,0.771661477394929,0.922041959913282
Bn_TCL1A,0.922303461898519,0.929321388045531,0.946769082092724,1.0,0.822735101259719,0.842053716576639,0.824953302434146,0.843814552915747,0.876865949814462,0.882836668109022,0.874034506607029,0.872738813038454,0.820734101431422,0.805091271181398,0.824203032182779,0.835604926661072,0.838313671670351,0.824100706460526,0.820024277490293,0.812248532632373,0.846670459706316,0.836548082741213,0.837400119447236,0.834578728906117,0.832057856321848,0.799854719811188,0.831121885466058,0.851588007079207,0.845363511976734,0.795484386105584,0.757560463801525,0.795274887030951,0.770509543115042,0.78733867139996,0.80060814744074,0.852829682877195,0.839604126308597,0.496110972040734,0.82668509406641,0.767942423738427,0.828444638748486,0.831123240673462,0.793811213158959,0.793899636575465,0.718671290928951,0.746927278002587,0.775306943374569,0.917412368606376,0.926596323673379,0.899808154926988,0.799665008091683,0.967411937530657,0.816896712494409,0.939716596451089,0.912488491248264,0.789581220447263,0.708300689357525,0.743095852214409,0.731331590975815,0.814831237639457,0.82381570397753,0.806074958361364,0.836712802456386,0.712450749888583,0.780525075910762,0.799673723352113,0.733114334451232,0.801578121734847,0.94149390513651
CD4_CTL_GZMH,0.843009550477209,0.818812513461155,0.799405172371864,0.822735101259719,1.0,0.907595554777396,0.898459736435457,0.922832643574317,0.919029512443919,0.94257178238192,0.928176976442234,0.93446920422411,0.909241697711394,0.858665818285784,0.921730721161756,0.92394477546609,0.888157679964969,0.899746914732469,0.88515481779224,0.876413165384764,0.881806366939294,0.894573211449115,0.916536999116945,0.962193189655541,0.950406845352179,0.932469331246012,0.904024188769793,0.956409821330659,0.889690215545043,0.87042014510346,0.778318802793657,0.824526340300496,0.802544468966984,0.748445106497879,0.86746029335133,0.84388217086232,0.94652332656498,0.623314818759455,0.931866165883775,0.952891257059376,0.953825846878247,0.901520621055771,0.80961570199204,0.80105428024229,0.720681252319554,0.909205442543776,0.918749220083367,0.857665693511041,0.846561306122477,0.854958974657354,0.922957901851797,0.8572986390959,0.930927784446273,0.856356133457261,0.816504422040563,0.832736398169807,0.770751621371477,0.799669189193105,0.791770412800945,0.872036874097075,0.962896403974396,0.94852755359178,0.958190971035062,0.775549900673286,0.81737040176239,0.830193967508148,0.759221793712596,0.808802704070546,0.837343952413735
CD4_Tcm_CXCR5,0.842042173163844,0.761025005200917,0.797001714859645,0.842053716576639,0.907595554777396,1.0,0.951493894554073,0.960450895007251,0.964690010729287,0.945536351521618,0.943142749387001,0.945054210883952,0.944108796200079,0.927071609711893,0.952741923074471,0.94846113479881,0.95476653576924,0.965534623682969,0.954027099624687,0.939592789833012,0.900660644452666,0.945013691971983,0.936556556250142,0.899829560782137,0.939534987449021,0.886183296855865,0.948106621823,0.938141326815834,0.953162608952457,0.906603099870393,0.78286423242608,0.827015968650141,0.78326260643661,0.809242168286211,0.864061513700166,0.886451445717812,0.927390605492416,0.584785017194325,0.876645179097757,0.853902746191159,0.889819947769842,0.884299474784453,0.811534589174915,0.804775236881911,0.739167974499477,0.827522309530068,0.873164230528069,0.878377456373552,0.866827736929397,0.875625079960097,0.862381042135424,0.868136131051476,0.887903422769145,0.873414653018964,0.839132536776623,0.841892490333084,0.733810309761902,0.792931292552417,0.772825823411473,0.91722249737355,0.913370812021352,0.907788463133322,0.933293388883414,0.751726210445462,0.808274581323494,0.809042553321976,0.74986485772638,0.826904412103178,0.854564090278727
CD4_Tcm_IFI44L,0.852550852231823,0.819628882151545,0.820454514798758,0.824953302434146,0.898459736435457,0.951493894554073,1.0,0.939247687014977,0.940137709736795,0.941204339871699,0.938658752807632,0.93998830683175,0.936952009720838,0.925997858756024,0.944580807892292,0.946774527424302,0.938343382447417,0.955544331172993,0.951444816237674,0.945801117209175,0.895913277739031,0.946438181311474,0.935488269475267,0.899396978812473,0.932400189560726,0.927180907294904,0.944814211868052,0.926903216598012,0.937076383015587,0.9423602573057,0.842749705441003,0.84796233009939,0.872885954895205,0.855975515838944,0.866332948446674,0.878746691864895,0.921726215115862,0.693789738481061,0.884654212507792,0.889289029934609,0.881383423265874,0.897938123509445,0.856595943152454,0.842063701983761,0.74058333033124,0.861782631044175,0.878627386559419,0.896362616083664,0.890629908132733,0.889449855336638,0.876196957537553,0.885586095798338,0.895698863584368,0.885379692148632,0.894886421502542,0.850681660739472,0.832412345667906,0.857704263304538,0.835764181496819,0.938670150406151,0.909763788816185,0.921756465641323,0.922837184042178,0.83477565369971,0.830244450351967,0.83197581896295,0.807042565349914,0.832459953557692,0.857390086507188
CD4_Tem_CCR7neg,0.843871196720404,0.767125321640303,0.784450053516521,0.843814552915747,0.922832643574317,0.960450895007251,0.939247687014977,1.0,0.96470870317856,0.961203283468575,0.959856699027939,0.950178056754832,0.94546954589769,0.90624496704293,0.956172724309737,0.948566063544424,0.951127245011342,0.951752690271539,0.939641060374351,0.926631607062219,0.900307477520274,0.929526585154859,0.936173624276073,0.921295372818089,0.948115084117604,0.888154116923174,0.938267215376326,0.948347321458065,0.94734298547911,0.898724189790226,0.764063657553128,0.834141068704418,0.819348403282268,0.78616683956858,0.864818696885449,0.884792599719815,0.940039523722243,0.567184752828208,0.888009175384962,0.89502240050792,0.906232638698695,0.885890700550768,0.810490348627224,0.826156798393005,0.734495956438695,0.833953398260775,0.881304048395103,0.87543106178402,0.865044488669635,0.879968674619604,0.886852818604272,0.861583053870086,0.895745129501931,0.87092047288265,0.822673038104502,0.847854046332149,0.763704044439824,0.79970186075676,0.781121587788895,0.898624574617176,0.922572102475286,0.918331745532177,0.937880792995396,0.769061443914061,0.813979898959468,0.819322867907562,0.73803378021382,0.823476731909764,0.854663375371953
CD4_Tfh-like_CXCR5,0.845327890624477,0.77571825162653,0.802604941040179,0.876865949814462,0.919029512443919,0.964690010729287,0.940137709736795,0.96470870317856,1.0,0.0,0.0,0.0,0.941881380459197,0.909371440661288,0.95123952261121,0.948245565754567,0.959632457746693,0.955327146013001,0.939408582857968,0.92900431451005,0.0,0.935585575286232,0.939389136493527,0.914105562093277,0.941250678551638,0.881986470012843,0.935669663160757,0.949661439764611,0.954885721037988,0.88794600132789,0.7640465057074,0.816681620671505,0.770824525794467,0.78249403853954,0.856817139852054,0.0,0.933589265796501,0.532020717868149,0.882443669552373,0.8736418374587,0.898083854718903,0.875459402525969,0.793252699367838,0.80006473378253,0.749946260575185,0.821087847358839,0.877987340612251,0.864743515226775,0.857320249802752,0.870245111954062,0.86753975416058,0.853919129685147,0.883873439973367,0.857255408326989,0.801953470698029,0.828505983394672,0.71553091034801,0.769372263877943,0.744978063993914,0.902953515947861,0.914077698977748,0.906771214008799,0.935724540706034,0.731557917481672,0.789237386445899,0.797553053640196,0.723724540524419,0.811479556409287,0.0
CD4_Th1-like_GZMK,0.856330722501327,0.804968335196436,0.823192458722226,0.882836668109022,0.94257178238192,0.945536351521618,0.941204339871699,0.961203283468575,0.0,1.0,0.0,0.0,0.941286650844939,0.920466077082618,0.956713317866914,0.950520650243476,0.941033970744552,0.943528470602653,0.928768156417764,0.917696745595917,0.0,0.92371857796517,0.929377506204086,0.929260074592006,0.960059030085745,0.905886124116653,0.936996840181644,0.956858219353612,0.942642331233812,0.893001564660261,0.757297351822348,0.835213759097414,0.795822686420612,0.80118652338774,0.864517091914357,0.0,0.954783872143788,0.574589524843453,0.902255320231502,0.898824111802154,0.918882668920625,0.897195925834243,0.818601543335685,0.821703894672061,0.720045278842504,0.864299899343628,0.880646086198925,0.873063406429924,0.861879042446736,0.880185997014038,0.884607264118517,0.865180059900082,0.911936952191178,0.870866099023292,0.823509586636592,0.840046269170954,0.758952735912953,0.792068347242079,0.776782452635084,0.894394308585944,0.935275351875022,0.936497841388089,0.955260887065575,0.76439138079107,0.806265574676762,0.807883307655506,0.75492003123617,0.820541875340394,0.0
