cell_type,mean_spatial_coupling,mean_rb_coupling,n_spatial_partners,n_rb_partners,marker_tfs
CD4_CTL_GZMH,0.8827372180725557,0.8409185611964183,60,68,"HSF1, JUN, KLF9, JUNB, EGR1"
ILC2_IL2RA,0.8827372180725557,0.8140451501730301,60,68,"EGR1, HSF1, JUN, KLF9, JUNB"
MAIT_SLC4A10,0.8768936355609758,0.8445937393031357,60,68,"JUN, HSF1, EGR1, ZEB1, JUNB"
gdT2_IL12RB2,0.8768936355609757,0.8487536360040769,60,68,"JUN, EGR1, HSF1, JUNB, ZEB1"
gdT2_GZMK,0.8768936355609757,0.8429247262725141,60,68,"JUN, HSF1, EGR1, JUNB, ZEB1"
HSPC_CD34,0.8762140564771741,0.7644985232104993,60,68,"PATZ1, KLF9, HSF1, JUNB, EGR1"
DC_CSF2RA,0.8756521321984934,0.796166422395288,60,68,"EGR1, JUNB, HSF1, MITF, JUN"
DC2_CD1C,0.8748520245941885,0.8105808367173173,60,68,"JUNB, EGR1, HSF1, JUN, VENTX"
CD4_Th1-like_GZMK,0.8699590827617212,0.8703368262581265,60,54,"JUN, HSF1, ZEB1, KLF9, JUNB"
CD4_Th22-like_CCR10,0.8699590827617212,0.8822893178274034,60,54,"HSF1, KLF9, JUNB, JUN, ZEB1"
CD4_Th_CCR4,0.8699590827617212,0.8387984330568015,60,68,"HSF1, KLF9, JUNB, JUN, ZEB1"
CD4_Th_LMNA,0.8699590827617212,0.8427077433062645,60,68,"HSF1, KLF9, JUNB, ZEB1, JUN"
CD4_Th17-like_RORC,0.8699590827617212,0.8683824010504361,60,54,"HSF1, KLF9, ZEB1, JUNB, JUN"
CD4_Th_TNFRSF11A,0.8699590827617212,0.8436812268057572,60,68,"HSF1, KLF9, ZEB1, JUN, JUNB"
ncMono_FCGR3A,0.8653129102695521,0.8051756109659833,60,68,"JUNB, HSF1, EGR1, VDR, BATF3"
intMono_GFRA2,0.8646843405273185,0.7724702332348261,60,68,"EGR1, JUNB, MITF, HSF1, VENTX"
NK_bright_XCL1,0.8640047780141651,0.8332256704475707,60,68,"JUN, HSF1, EGR1, MAFF, KLF9"
ncMono_C1QA,0.8633057722136008,0.8010472878352748,60,68,"EGR1, JUNB, HSF1, VENTX, BATF3"
DC1_CLEC9A,0.8628543309460233,0.7738129219351427,60,68,"EGR1, JUNB, JUN, PATZ1, KLF9"
CD4_Tcm_IFI44L,0.8618627785980362,0.8383352375199662,60,68,"KLF9, HSF1, ZEB1, PATZ1, JUNB"
CD4_Tcm_CXCR5,0.8618627785980362,0.8415591711649522,60,68,"KLF9, HSF1, ZEB1, PATZ1, JUNB"
CD4_Tfh-like_CXCR5,0.8618627785980362,0.8579879415575759,60,54,"HSF1, KLF9, ZEB1, PATZ1, JUNB"
CD4_Tem_CCR7neg,0.8618627785980362,0.8443531322096129,60,68,"HSF1, KLF9, ZEB1, PATZ1, JUNB"
pDC_IRF4,0.8593342726449433,0.7787858367434333,60,68,"POU4F1, HSF1, PATZ1, JUNB, KLF9"
Proliferative_T_MKI67,0.8587910418409319,0.8110566003749741,60,68,"HSF1, PATZ1, KLF9, BATF, JUNB"
pre-Switched_Bm_JAM3,0.8575509927385399,0.8280523429794835,60,2,"HSF1, EGR1, JUN, KLF9, RELB"
Transitional_NK_GZMK,0.8542807979377829,0.8358526866533501,60,68,"JUN, EGR1, HSF1, MAFF, CREM"
Bn_TCL1A,0.8541515133279878,0.8292801246225097,60,68,"HSF1, EGR1, KLF9, JUN, PATZ1"
Switched_Bm_IGHE,0.8541515133279878,0.8263934033900138,60,68,"HSF1, EGR1, PATZ1, KLF9, JUN"
Atypical_Bm_ITGAX,0.8541515133279878,0.8191654804784674,60,68,"HSF1, EGR1, JUN, PATZ1, KLF9"
Bn_IFIT3,0.8541515133279878,0.7977329717887389,60,68,"HSF1, EGR1, KLF9, JUN, PATZ1"
Switched_Bm_IGHDneg,0.8541515133279878,0.8317901931778502,60,68,"HSF1, EGR1, JUN, PATZ1, KLF9"
Transitional_B_MME,0.8541515133279878,0.8238562222404063,60,68,"HSF1, EGR1, JUN, PATZ1, KLF9"
CD8_Tem_CCR7neg,0.8532961125684229,0.8499478583758586,60,68,"JUN, HSF1, EGR1, KLF9, ZEB1"
CD8_CTL_GZMK,0.8532961125684229,0.8461696316910152,60,68,"JUN, HSF1, ZEB1, EGR1, KLF9"
Unswitched_Bm_CD1C,0.8504430791263665,0.8301342489417811,60,68,"HSF1, EGR1, JUN, RELB, PATZ1"
ncMono_IFIT1,0.8466333859514729,0.7601868616655961,60,68,"VDR, BATF3, HSF1, PLAGL2, JUNB"
Plasma_IGHA1,0.8409938645764075,0.7890670767185843,60,68,"HSF1, KLF9, PATZ1, XBP1, JUNB"
