gse_category,n_cima_subtypes,cima_subtypes,mean_TOPPLE_RI,max_TOPPLE_RI,mean_SICAI_mean_rb,max_SICAI_mean_rb,mean_DGSA_NonAdd,max_DGSA_NonAdd,mean_Disease_N,max_Disease_N
CD8_TRM,5,"CD8_CTL_GZMB, CD8_CTL_GZMK, CD8_CTL_IFI44L, CD8_Tcm_IFI44L, CD8_Tem_CCR7neg",0.001712524514941111,0.0017129049461401889,0.8649453116081567,0.8799195440242668,0.7799369166389949,0.8285578264737988,16.6,34.0
CD4_Tconv,13,"CD4_Tcm_CXCR5, CD4_Tcm_IFI44L, CD4_Tem_CCR5, CD4_Tem_CCR7neg, CD4_Tfh-like_CXCR5, CD4_Th1-like_GZMK, CD4_Th17-like_RORC, CD4_Th22-like_CCR10, CD4_Th_CCR4, CD4_Th_LMNA, CD4_Th_TNFRSF11A, CD4_Tn_CCR7, CD4_CTL_GZMH",0.0017127100234887334,0.0017133245170375669,0.8470227985311322,0.8881021259389834,0.7837674693835212,0.8519207092173979,19.083333333333332,33.0
Treg,3,"CD4_Treg_FOXP3, CD4_Treg_FCRL3, CD4_Tr1_IL10",0.0017125978106841664,0.0017129525705821378,0.8410631389725669,0.8713307437788648,0.756932290170103,0.7791153515266881,8.0,12.0
CD8_Teff,1,CD8_Tn_CCR7,0.00171326284539169,0.00171326284539169,0.8508061610819492,0.8508061610819492,0.8423023359728001,0.8423023359728001,32.0,32.0
NK,6,"Mature_NK_dim_FCGR3A, NK_bright_XCL1, Terminal_NK_dim_CD160neg, Transitional_NK_GZMK, Proliferative_NK_MKI67, NKT_NCR1",0.001712494412988012,0.001712675071136204,0.8260470678071324,0.843104918672579,0.787101939211881,0.8269911463011743,14.333333333333334,30.0
Macrophage_M1,4,"cMono_CD14, cMono_CXCL10, cMono_IFI44L, cMono_IL1B",0.0017126590903392223,0.0017127343105766096,0.784767956098535,0.8069728222024011,0.8047558674053334,0.839504437575057,18.5,42.0
Macrophage_M2,4,"ncMono_FCGR3A, ncMono_C1QA, ncMono_IFIT1, intMono_GFRA2",0.0017126178729626779,0.0017126532013568166,0.7843897155615218,0.8040929208562,0.8043169455321937,0.8288774341870799,10.0,20.0
DC_myeloid,4,"DC1_CLEC9A, DC2_CD1C, DC_CSF2RA, AS_DC",0.0017119633514523674,0.0017122362608494239,0.7755435565264736,0.8115668240959026,0.7844461041839842,0.8081641029352087,9.0,23.0
pDC,1,pDC_IRF4,0.0017120059208538209,0.0017120059208538209,0.7777175505360578,0.7777175505360578,0.7908817872170872,0.7908817872170872,7.0,7.0
ILC2,1,ILC2_IL2RA,0.0017121811074410343,0.0017121811074410343,0.7481676066453788,0.7481676066453788,0.7733740353035325,0.7733740353035325,2.0,2.0
