,healthy_mean,lesional_mean,fold_change,log2_FC,pvalue
CD8_TRM,-0.02229869779605387,-0.014074242926073769,1.1307077146365674,0.1772260441454729,0.360061919504644
CD4_Tconv,0.0,0.0,1.0,0.0,1.0
Treg,0.0,0.0,1.0,0.0,1.0
CD8_Teff,-0.00021319774584755108,0.0004254534520246223,1.0075128372913165,0.010798221064440113,0.6358789129686964
NK,0.00039973671824149084,-0.0015672119121067178,0.9770272437373525,-0.03352930356700743,0.6888200894392846
Mast,-0.07522118781776509,-0.07013410476763705,1.5087083050128036,0.5933139009007917,0.6358789129686964
Macrophage_M1,-0.0011780254933427814,-0.03813331953177801,0.5602819668329365,-0.8357750359786723,0.6888200894392846
Macrophage_M2,-0.0010375056739758376,0.014204279706455323,1.1810539167721075,0.240074827295786,0.22447540419676645
DC_myeloid,0.0,0.0,1.0,0.0,1.0
pDC,0.0,0.0,1.0,0.0,1.0
Neutrophil,0.0,0.0,1.0,0.0,1.0
ILC2,0.0,0.0,1.0,0.0,1.0
