gsm,sample,condition,patient,filepath,n_spots,n_stab_tfs,n_dest_tfs,stab_mean_expr,stab_std_expr,dest_mean_expr,dest_std_expr,stab_dest_ratio
GSM6086615,ST_13_L,lesional,13,data\visium\GSM6086615_ST_13_L_filtered_feature_bc_matrix.h5,469,51,51,0.46607298,0.9054664,0.12722105,0.25154844,3.6634896
GSM6086616,ST_13_NL,non-lesional,13,data\visium\GSM6086616_ST_13_NL_filtered_feature_bc_matrix.h5,660,51,51,0.046494357,0.14383282,0.016310161,0.051018838,2.8506374
GSM6086617,ST_14_L,lesional,14,data\visium\GSM6086617_ST_14_L_filtered_feature_bc_matrix.h5,459,51,51,0.08975182,0.179485,0.026912726,0.057718806,3.3349211
GSM6086618,ST_14_L_R2,lesional,14,data\visium\GSM6086618_ST_14_L_R2_filtered_feature_bc_matrix.h5,1044,51,51,0.22241005,0.43416333,0.06952897,0.13696052,3.1988113
GSM6086619,ST_14_NL,non-lesional,14,data\visium\GSM6086619_ST_14_NL_filtered_feature_bc_matrix.h5,447,51,51,0.028073872,0.06399642,0.010176778,0.027598916,2.7586207
GSM6086620,ST_15_L,lesional,15,data\visium\GSM6086620_ST_15_L_filtered_feature_bc_matrix.h5,230,51,51,0.42259166,0.53242,0.12804775,0.1715682,3.3002663
GSM6086621,ST_15_L_R2,lesional,15,data\visium\GSM6086621_ST_15_L_R2_filtered_feature_bc_matrix.h5,1183,51,51,0.22592945,0.49929795,0.0734424,0.16473147,3.0762808
GSM6086622,ST_15_NL,non-lesional,15,data\visium\GSM6086622_ST_15_NL_filtered_feature_bc_matrix.h5,662,51,51,0.06231859,0.1820415,0.024169184,0.074521095,2.5784316
GSM6086623,ST_16_L,lesional,16,data\visium\GSM6086623_ST_16_L_filtered_feature_bc_matrix.h5,660,51,51,0.53324425,0.9489362,0.12935236,0.23017657,4.122416
GSM6086624,ST_16_NL,non-lesional,16,data\visium\GSM6086624_ST_16_NL_filtered_feature_bc_matrix.h5,331,51,51,0.20306852,0.45275784,0.0697826,0.1541725,2.9100165
GSM6086625,ST_17_L,lesional,17,data\visium\GSM6086625_ST_17_L_filtered_feature_bc_matrix.h5,684,51,51,0.10388717,0.2108595,0.03428506,0.07375838,3.0301
GSM6086626,ST_17_NL,non-lesional,17,data\visium\GSM6086626_ST_17_NL_filtered_feature_bc_matrix.h5,873,51,51,0.022460302,0.062769674,0.0073220585,0.019977905,3.0674846
GSM6086627,ST_18_L,lesional,18,data\visium\GSM6086627_ST_18_L_filtered_feature_bc_matrix.h5,705,51,51,0.06577667,0.20055977,0.020915033,0.06887183,3.1449468
GSM6086628,ST_18_L_R2,lesional,18,data\visium\GSM6086628_ST_18_L_R2_filtered_feature_bc_matrix.h5,1122,51,51,0.34207124,0.7262831,0.09146832,0.19329754,3.7397783
GSM6086629,ST_18_NL,non-lesional,18,data\visium\GSM6086629_ST_18_NL_filtered_feature_bc_matrix.h5,763,51,51,0.19702928,0.37971765,0.072006784,0.14061888,2.73626
GSM6086630,ST_20_L,lesional,20,data\visium\GSM6086630_ST_20_L_filtered_feature_bc_matrix.h5,983,51,51,0.19833243,0.50832725,0.057985757,0.14590329,3.4203646
GSM6086631,ST_20_NL,non-lesional,20,data\visium\GSM6086631_ST_20_NL_filtered_feature_bc_matrix.h5,929,51,51,0.10162731,0.24757494,0.029359,0.07489064,3.4615386
GSM6086632,ST_21_L,lesional,21,data\visium\GSM6086632_ST_21_L_filtered_feature_bc_matrix.h5,830,51,51,0.26446962,0.5893255,0.07807702,0.17875355,3.3872914
GSM6086633,ST_21_NL,non-lesional,21,data\visium\GSM6086633_ST_21_NL_filtered_feature_bc_matrix.h5,955,51,51,0.08836876,0.19349776,0.035458375,0.088324636,2.492183
GSM6086634,ST_22_L,lesional,22,data\visium\GSM6086634_ST_22_L_filtered_feature_bc_matrix.h5,654,51,51,0.23316544,0.32051522,0.0700066,0.098279566,3.3306208
GSM6086635,ST_22_NL,non-lesional,22,data\visium\GSM6086635_ST_22_NL_filtered_feature_bc_matrix.h5,685,51,51,0.174839,0.29766974,0.062115356,0.101251766,2.8147469
GSM6086636,ST_L_RP1,lesional,L_RP1,data\visium\GSM6086636_ST_L_RP1_filtered_feature_bc_matrix.h5,1448,51,51,0.17253007,0.40727496,0.046257176,0.101581626,3.7298012
GSM6086637,ST_L_RP2,lesional,L_RP2,data\visium\GSM6086637_ST_L_RP2_filtered_feature_bc_matrix.h5,651,51,51,0.26062468,0.37006584,0.077075996,0.10681731,3.3813987
GSM6086638,ST_HM_1,healthy,ST_HM_1,data\visium\GSM6086638_ST_HM_1_filtered_feature_bc_matrix.h5,786,51,51,0.06383775,0.19201702,0.022326998,0.0670607,2.859218
GSM6086639,ST_HM_1_R2,healthy,ST_HM_1_R2,data\visium\GSM6086639_ST_HM_1_R2_filtered_feature_bc_matrix.h5,1070,51,51,0.047608577,0.12329017,0.01772036,0.04781584,2.6866596
GSM6086640,ST_HF_1,healthy,ST_HF_1,data\visium\GSM6086640_ST_HF_1_filtered_feature_bc_matrix.h5,634,51,51,0.11492547,0.3132107,0.037050784,0.105684094,3.1018362
GSM6086641,ST_HF_1_R2,healthy,ST_HF_1_R2,data\visium\GSM6086641_ST_HF_1_R2_filtered_feature_bc_matrix.h5,977,51,51,0.13506733,0.28964823,0.041262772,0.08886878,3.273346
