TF,mean_RI_pig,mean_RI_cima
ETS1,0.019049551768244563,0.0023095078889402
LEF1,0.01904746207195683,0.0004612808316355
RUNX2,0.019007249208331106,0.0008325382462041
SMAD1,0.018960529987606157,0.0008001066766145
FOSL1,0.018852986405740502,0.0001411189166018
IRF1,0.018836317591135607,0.0019971232206506
CEBPA,0.018808506419651382,0.0013762343765899
MAF,0.018777184651927153,0.0023415376189166
BACH2,0.018757294505024946,0.0007588188647981
STAT5B,0.018752810438303485,0.0030555709279698
NR4A1,0.018736347743985977,0.0017336055573529
MAFB,0.018733651760078907,0.0012244850293567
RELB,0.018729164546051096,0.0027839420300613
GATA3,0.018710805022565155,0.0014916536723005
STAT1,0.018705611720090203,0.0020999195688491
ETS2,0.018701431259113114,0.0013422893126243
FOSL2,0.01868505423914991,0.0021135208981211
SMAD4,0.018684741204992656,0.0015566615095756
TCF7L2,0.018682519872435226,0.000987952565293
REL,0.018681454367163976,0.0018740092149059
CEBPD,0.018677992169212055,0.0014253230202865
RUNX1,0.018673894853561423,0.0015898310477875
CEBPB,0.018651788226490287,0.0016697131551444
FOXO1,0.01865157310167566,0.0013492313774687
MYC,0.018651431218758244,0.0029148687572031
HSF1,0.018640164856204757,0.006321975861541
MAX,0.01863603899497304,0.0022609309461596
KLF4,0.018631339690816966,0.0014236118544643
EGR1,0.018628268230498356,0.0057367138825571
BACH1,0.018626332588464863,0.0014541065470959
FOSB,0.018615999399834347,0.0041162728678695
HES1,0.01861272363627062,0.0005946583187925
JUNB,0.018605948769885368,0.0056610822370792
JUN,0.018600382561719392,0.005632263809811
FOS,0.01859957035812097,0.0020548200157983
