TF,mean_RI,max_RI,mean_expression,n_cell_types_expressed,rank
MSX2,0.01961572256215613,0.12805968254390288,0.1252716420509598,6,1
SOX9,0.019316478944812792,0.103637790239965,0.29598142156933854,13,2
ELF5,0.01927695243662615,0.09573527824325496,0.06247434911928009,5,3
SMAD9,0.019229959750643174,0.07238947458792058,0.06379974351437716,6,4
NR4A2,0.01914813284751226,0.11018739869747629,0.22060460518277378,17,5
ETS1,0.019049551768244563,0.06037513753172111,0.4555731814204867,15,6
LEF1,0.01904746207195683,0.07684661828039861,0.5112269619579923,15,7
DLX3,0.019010501880164954,0.0701194658389923,0.1878628405020833,11,8
RUNX2,0.019007249208331106,0.07936588316123144,0.20523622359386798,9,9
SMAD1,0.018960529987606157,0.08697236097738031,0.2633456461876815,18,10
TEAD4,0.01892815993973357,0.06961622999715174,0.19978104526864549,12,11
GRHL1,0.01889085349351912,0.05905949401634924,0.16478708212755008,12,12
NR4A3,0.018885691477634903,0.0774024569404321,0.17180537982602512,14,13
FOSL1,0.018852986405740502,0.06716666627350133,0.10831476217871747,8,14
GRHL3,0.018842115870832538,0.07402199536110203,0.1587749373641134,14,15
ID4,0.018839965321770347,0.05474713850808028,0.10278265781123533,6,16
IRF1,0.018836317591135607,0.054743885463766344,0.17021376979741185,12,17
OVOL1,0.01881244899590119,0.0549105836412508,0.2858943138058229,14,18
CEBPA,0.018808506419651382,0.046072452380776674,0.27843358764327486,14,19
ID3,0.018778336158497298,0.04605590760599885,0.6146312770071308,19,20
MAF,0.018777184651927153,0.05519211684013757,0.39532764172895135,17,21
BACH2,0.018757294505024946,0.05615948579782539,0.7934262999769652,19,22
STAT5B,0.018752810438303485,0.051217537105298847,0.2186066052073499,16,23
STAT5A,0.01874645287283806,0.0472827229821997,0.08019149884207563,7,24
NR4A1,0.018736347743985977,0.060423613091207536,0.5446464884024341,19,25
MAFB,0.018733651760078907,0.04475570902252264,0.5170675206642096,17,26
RELB,0.018729164546051096,0.05152284941935471,0.20389409371561595,16,27
GATA3,0.018710805022565155,0.038569560308565405,0.8259050545222063,18,28
TEAD1,0.018706877494403206,0.043250796783654066,0.8287213944707519,19,29
NOTCH2,0.018706055506434987,0.04434168382039057,0.40243437346236954,17,30
STAT1,0.018705611720090203,0.0482975785905747,0.519031313094943,19,31
TP63,0.018704373926394697,0.03836814618079949,0.9430549615378492,18,32
ID2,0.018702387186138272,0.03483904878164458,0.9947079335779246,19,33
ETS2,0.018701431259113114,0.03516550477136449,0.5064022737050891,18,34
KLF5,0.018696658262250348,0.035069596888287036,1.0914391973008293,19,35
SMAD5,0.018687494111807538,0.0467065715282794,0.33307249581597836,18,36
FOSL2,0.01868505423914991,0.0322327391644821,0.18483337737201458,17,37
SMAD4,0.018684741204992656,0.03747955592396237,0.36285490700891687,17,38
TCF7L2,0.018682519872435226,0.034306192527109924,0.9083352194433773,18,39
REL,0.018681454367163976,0.03818675083590627,0.6094250447785727,19,40
CEBPD,0.018677992169212055,0.04110658429493387,1.1183503174717944,18,41
RUNX1,0.018673894853561423,0.042240217093768226,0.8880471407972045,19,42
NFKB1,0.01866029792732078,0.034628015999628434,0.5740329178989816,19,43
CEBPB,0.018651788226490287,0.032984419499538814,1.1122854214486952,19,44
FOXO1,0.01865157310167566,0.03707407869466802,0.700912462058652,19,45
MYC,0.018651431218758244,0.02897755791568671,0.5990135678902289,19,46
NOTCH1,0.01864728119401134,0.02988515801865987,0.35572085499789546,19,47
HSF1,0.018640164856204757,0.03179708664728897,0.20700402752567876,18,48
ID1,0.018639303816024206,0.02789244432866749,0.9526737249670877,19,49
STAT3,0.01863788258998285,0.03263457462042244,0.8286751697847264,19,50
MAX,0.01863603899497304,0.0330258414719182,0.3183603005953442,19,51
RBPJ,0.018631344490475734,0.02853080765457532,0.5639006636591382,19,52
KLF4,0.018631339690816966,0.03110854010968906,0.9059771851236479,19,53
CTNNB1,0.018630058996682138,0.03577130690174529,0.9396373355356283,19,54
EGR1,0.018628268230498356,0.028446905763604063,1.4645323894890514,19,55
NFE2L2,0.018626677801597755,0.02796160951963444,0.49270488891639613,19,56
BACH1,0.018626332588464863,0.025349227959304926,0.6540626657318385,19,57
YAP1,0.01862544972549097,0.02559970409171113,0.7824943887254383,19,58
RELA,0.018623151878075866,0.029214000872671075,0.1840310669992423,19,59
FOSB,0.018615999399834347,0.026369548980932713,1.1196996348573958,19,60
HES1,0.01861272363627062,0.027668103417619928,1.138987029399895,19,61
JUNB,0.018605948769885368,0.023375254783653,1.948234624625786,19,62
JUN,0.018600382561719392,0.022052372169787393,2.0538311273892176,19,63
FOS,0.01859957035812097,0.021323309012058225,2.3615034106744557,19,64
