regulon,mean_RI,std_RI,max_RI,min_RI,rank,stability_class
HSF1_+,0.0063219758744454575,0.0008300575315670865,0.007774631983572905,0.004761830463723065,1,stabilizer
EGR1_+,0.005736713895293005,0.0007279032850346746,0.007565558619600599,0.0030800774860850924,2,stabilizer
KLF9_+,0.005693042811916047,0.001104875575678763,0.008193791068710422,0.0036279371754528783,3,stabilizer
JUNB_+,0.005661082249794989,0.0005391442967262545,0.0066120256665677425,0.004296587557942868,4,stabilizer
JUN_+,0.005632263822515266,0.0008320282287780999,0.007262250154820302,0.004043702339176046,5,stabilizer
PATZ1_+,0.005526657359574743,0.0008966154521515504,0.007646900061194276,0.003770314708801902,6,stabilizer
ZEB1_+,0.005244920473308586,0.00117950409016453,0.00711128960046308,0.0030358184014624783,7,stabilizer
PHF1_+,0.004848008270943044,0.0009832211468801591,0.006480645969658316,0.0027537289729595705,8,stabilizer
ZNF101_+,0.004286224107266121,0.0009748822078706044,0.00658063176405184,0.002611651504834775,9,stabilizer
FOSB_+,0.004116272880109746,0.0004169477783358675,0.005078293113763579,0.00317936591345986,10,stabilizer
SATB1_+,0.004104260469556292,0.0008356685909104127,0.006077364039923338,0.0024829559078615505,11,stabilizer
ZBTB25_+,0.003591033515475876,0.0009766987429680205,0.005542120027958213,0.001965536375289046,12,stabilizer
HIVEP2_+,0.0035259858716390003,0.00073857536801458,0.004943298847263636,0.0023858251849797492,13,stabilizer
JUND_+,0.0031952113085924197,0.0002780247458505939,0.003899411071167313,0.0026111089174681887,14,stabilizer
BATF_+,0.00316448046177706,0.000902139974355628,0.005413361960402019,0.0014924417880093383,15,stabilizer
KLF2_+,0.0031043459493656903,0.00032763480075551933,0.0036601943739958272,0.0024524758575245197,16,stabilizer
SP100_+,0.00309211542622714,0.0008074565192498103,0.004447115098091604,0.0013613854704727976,17,stabilizer
STAT5B_+,0.0030555709398201163,0.0009640193863350681,0.004664387128589748,0.0014583700529359348,18,stabilizer
THRA_+,0.003008973066523167,0.001220109813827344,0.005273663787592937,0.0013772739917837285,19,stabilizer
ASCL2_+,0.0029521035708377705,0.0010103293242365308,0.005742904623202588,0.0015270525466165887,20,stabilizer
KLF6_+,0.0029310896948666677,0.00030298238593071895,0.0036150733179864244,0.002404330707240965,21,stabilizer
ZNF639_+,0.0029223226674810862,0.0006738323091149069,0.004184223910997066,0.0014914152829276107,22,stabilizer
MYC_+,0.0029148687690159205,0.0006294219366278486,0.004187793139261954,0.0018063101910517651,23,stabilizer
HMGA1_+,0.002862405950492621,0.0005427903691204983,0.004676978716295451,0.0017886515310796612,24,stabilizer
NFIC_+,0.0028586834832165526,0.0004801584993545289,0.00439909347669285,0.0015744142164734447,25,stabilizer
FOXP1_+,0.0027978348648294293,0.0009639281644716353,0.0050940034862055564,0.001254580987389459,26,stabilizer
RELB_+,0.0027839420417892138,0.0012984278455565647,0.005568287983231349,0.001477608730259203,27,stabilizer
TCF7_+,0.0027618552188645017,0.0007698620550824286,0.004556164658355194,0.0015463648813233072,28,stabilizer
ATF4_+,0.0027606568064189167,0.000346993171982181,0.004065667170456978,0.0022425591179619686,29,stabilizer
KLF3_+,0.002734069824962839,0.0005324281928703764,0.003400153350872889,0.0018401777824967132,30,stabilizer
HIF1A_+,0.002724447499275258,0.0005647060604185091,0.004305683270645527,0.0018554442648776202,31,stabilizer
ARNTL_+,0.0027015701196101242,0.001073005736698925,0.004886186208815143,0.0013004558692929795,32,stabilizer
NFIL3_+,0.0026766855011505874,0.0009474822425726119,0.004520426653816331,0.0011929818438950726,33,stabilizer
ZEB2_+,0.0026623396444033103,0.0007878236337737323,0.004083716445553257,0.001567230090712382,34,stabilizer
BCL11B_+,0.002635537319391072,0.0008789224826446175,0.004363385592471867,0.0011700920525318291,35,stabilizer
STAT4_+,0.002542776499545523,0.0016422887811797131,0.005703577219923568,0.0005600133425763828,36,stabilizer
MBD2_+,0.0025259278609824675,0.0003844054141413076,0.004018366030715156,0.0017470043987044333,37,stabilizer
ZNF783_+,0.002525064357397315,0.0005123290170971789,0.0037681165285366465,0.0015944291978038192,38,stabilizer
ZNF91_+,0.0024375623934570667,0.001164907806131857,0.006087392246550966,0.0007307808211029265,39,stabilizer
NR2C1_+,0.002400470526736494,0.0008745066215822029,0.0038929547294747828,0.000637496949719005,40,stabilizer
MAZ_+,0.0023882398366828687,0.000538569517142038,0.0038836975608060264,0.00134312414291352,41,stabilizer
TGIF1_+,0.0023806451181715496,0.00036401583424364013,0.0029577902926626433,0.0013164144304107165,42,stabilizer
CREM_+,0.002364483526305192,0.001240733026697957,0.005280242681256957,0.0008295495522767143,43,stabilizer
PHF20_+,0.002358452486637552,0.0005319125031728397,0.0031601094640068476,0.0012333239043781162,44,stabilizer
