,AS_DC,Atypical_Bm_ITGAX,Bn_IFIT3,Bn_TCL1A,CD4_CTL_GZMH,CD4_Tcm_CXCR5,CD4_Tcm_IFI44L,CD4_Tem_CCR5,CD4_Tem_CCR7neg,CD4_Tfh-like_CXCR5,CD4_Th1-like_GZMK,CD4_Th17-like_RORC,CD4_Th22-like_CCR10,CD4_Th_CCR4,CD4_Th_LMNA,CD4_Th_TNFRSF11A,CD4_Tn_CCR7,CD4_Tr1_IL10,CD4_Treg_FCRL3,CD4_Treg_FOXP3,CD8_CTL_GZMB,CD8_CTL_GZMK,CD8_CTL_IFI44L,CD8_Tcm_IFI44L,CD8_Tem_CCR7neg,CD8_Tn_CCR7,DC1_CLEC9A,DC2_CD1C,DC_CSF2RA,HSPC_CD34,ILC2_IL2RA,MAIT_SLC4A10,Mature_NK_dim_FCGR3A,NKT_NCR1,NK_bright_XCL1,Plasma_IGHA1,Plasma_IGHG1,Plasmablast_MKI67,Proliferative_NK_MKI67,Proliferative_T_MKI67,Switched_Bm_IGHDneg,Switched_Bm_IGHE,Switched_activated_Bm_CD86,Terminal_NK_dim_CD160neg,Transitional_B_MME,Transitional_NK_GZMK,Unswitched_Bm_CD1C,cMono_CD14,cMono_CXCL10,cMono_IFI44L,cMono_IL1B,gdT1_TRDV1,gdT2_GZMH,gdT2_GZMK,gdT2_IL12RB2,intMono_GFRA2,ncMono_C1QA,ncMono_FCGR3A,ncMono_IFIT1,pDC_IRF4,pre-Switched_Bm_JAM3
AHR_+,0.0025468489479846933,0.0016801853830306426,0.0016366510348924453,0.00166727159449995,0.0009719949050381979,0.001062527568570968,0.0010226241668708535,0.001152868096522454,0.0011504097512804205,0.0011440457251390434,0.0010721680722240304,0.0011849623395959203,0.0015109939500025581,0.0013506999653018232,0.0013286352217413927,0.0012387791038616564,0.0008776889102850576,0.0010041021412396873,0.0009601176242878096,0.0013557441784129937,0.0008611179484559916,0.0009794164747600979,0.000946998417148253,0.0008518007177205344,0.0009518391645727543,0.0007626687280321489,0.002912121518706329,0.002912122764018206,0.002264972162281979,0.001362772076003557,0.0012485428946724135,0.0008482897106627025,0.0006151970853789451,0.0008067041425319385,0.0009601929326563289,0.0009703636082562038,0.0009803079305385912,0.0009234961974339689,0.0006365020620386306,0.001052880060614088,0.0018560776076725577,0.0019260386499977715,0.0019479169955244572,0.0006823661335798549,0.0016528125491177947,0.0007959570170947783,0.0017861995410747736,0.0018646272983881198,0.0018259565204599487,0.001759646620346444,0.001871411076106812,0.0008532576614976122,0.0008039083190975666,0.0009055258409739408,0.0009145949956173977,0.0020339277169465005,0.0016280818102868213,0.0014963135972039898,0.0014348855471232455,0.0018306721797107174,0.001775869074418175
ARID3A_+,0.002372488921838432,0.0014017187108105891,0.0009721733786643465,0.0009688086494083246,0.0006933135945282124,0.0006493061838715445,0.0006145156464066046,0.0008013401714252443,0.0007004434929270122,0.0006776439220382844,0.0006467974014705638,0.0007246338274086407,0.0007822924411307223,0.0007753943080418588,0.0007465226140712352,0.0006972430445261698,0.000578475790923719,0.0007000445094906722,0.000576729361055908,0.0007241851656212831,0.0006854082462788176,0.0005991220502104623,0.0006281100762596861,0.0005954939779587643,0.0006178859567986877,0.0005776059637999975,0.0020523068479647156,0.0024346548638098093,0.002567801560157596,0.0013904533795125748,0.0008519536223044983,0.0005900184506752881,0.0006712463269695896,0.0007032164106663691,0.0006760196170664172,0.0019829618012715076,0.0019621165031257584,0.0016259470786726348,0.000749314108755292,0.00084529737987487,0.0011897461781625914,0.0011479754440279647,0.0013651797267663253,0.0006474909203364562,0.0010067045770318155,0.0006049836363426925,0.0011841841297645977,0.0034250427641904406,0.003191888943973786,0.0034296721697853897,0.00316463982703801,0.0005644408822453779,0.0006281467555670709,0.0005906394371329387,0.0005683830099352674,0.0030345853686606634,0.002836031941574812,0.002694217229603199,0.0025828665642543174,0.002604915568740915,0.0011339577867465562
ARID5B_+,0.00019542402652043155,0.0022910500096391334,0.0020675146227537083,0.0021313431180081514,0.0014667324166439013,0.002446308394437642,0.00215677952570208,0.0024996716134267336,0.002476866317868939,0.002709501281374185,0.0022088002819758614,0.0021493086559115993,0.0028451318968854126,0.0028007811125916296,0.002746989254021958,0.0027611731822731553,0.0014100694528776817,0.0019127981940001626,0.0025765284985095342,0.0035245007811343597,0.0013750865353951245,0.001634919503625745,0.0017563064621190629,0.0010656579909011012,0.0015749777762980204,0.0008459646995031936,0.0005167222441195077,0.00017525190735669075,0.0003558735187007813,0.0003911873061477337,0.001723711990677022,0.0009401590370642302,0.0008582500291272483,0.001106057697171333,0.0010373834027663411,0.0020875071189456044,0.0020188363211835546,0.0012793035573521214,0.0007122068066350353,0.0008679068975268941,0.0021842934706475413,0.0022519531013129052,0.0023296755910045485,0.0011474073173657123,0.0019745499345380836,0.0009229119923270216,0.0023383614025260335,0.000156013867029585,0.00030275431945549523,0.00020425011944074655,0.00018394245986537848,0.0018489723799190504,0.0010362527600460728,0.0008929926879315534,0.0010082383096434388,0.00014468799495021478,0.0002512823321909543,0.00029132961324430094,0.0003379419905635497,7.844682068573855e-05,0.0025175737348203183
ARNTL_+,0.001602429463031801,0.0014827599664174879,0.001370996252373218,0.001316482510845614,0.004344194156678267,0.002641473463635714,0.002621512668658866,0.003342490092878458,0.003142823698815774,0.0028390212045802284,0.003440942431798018,0.0034241792472061478,0.003004476889572543,0.0028526161208138655,0.0028771813668753894,0.0028180533421649054,0.002461999450937326,0.003145502021558288,0.002599144420561951,0.0031698574113131896,0.004405819421387722,0.0037928203867547477,0.0036855624741695585,0.0030272765309800696,0.003849585609544056,0.00273539285737212,0.0017228758290804926,0.0018405480678990902,0.00187082275002795,0.0019054692185738532,0.003024969614651462,0.004363725135358033,0.004676498177383188,0.0044079435910658075,0.003387501499197193,0.002342171886177633,0.002360913948544383,0.002193310540129625,0.003924186159126772,0.0031293523629093373,0.001511199742039399,0.0014992488681568317,0.001571113892345812,0.004886186196329333,0.0013004558581996607,0.004338453623749933,0.001390147800683134,0.0016640015631692081,0.0015613417604187173,0.0016037111175161564,0.0015606492873079406,0.002893538818985443,0.004495377689062881,0.004167007929663719,0.004262450862620382,0.0015592347311747642,0.001390792088616421,0.0014308382014034616,0.0013387240228225163,0.0018366682530626898,0.0013897520339928914
ASCL2_+,0.0032035827140036183,0.0021547952766302583,0.0015507604017113267,0.0015270525353969246,0.004483773088650696,0.001964210055541657,0.002027837375107187,0.002898435641334363,0.0022797766837928156,0.0020975402802931695,0.0023628883607879833,0.0024251402695938122,0.002682306818279874,0.002554391675265088,0.002514277667097663,0.0023558510964671905,0.001767522756735123,0.002675140232103339,0.0018024642363744803,0.002409941626981141,0.0047721143880958515,0.002813149891983983,0.003100219519058839,0.0023178276758503346,0.0032924266255146073,0.0019242976084026654,0.0031901190969273897,0.00314294265775739,0.0027026624600187256,0.002501486507910355,0.002881695522945978,0.0028860363128278646,0.005658577880903118,0.005742904610460542,0.003761972213241144,0.0032132631483904645,0.003040961618540035,0.003387155859269037,0.005417094693503831,0.004542981783207141,0.0019435440941765517,0.0018973667515426009,0.0023360835501736988,0.00483952595812185,0.0016128687040038914,0.004358523410680914,0.0017971887953541828,0.0030319999124882916,0.002883089095409075,0.0029964219440952694,0.0029116828807556005,0.002102673879013985,0.004755884887545091,0.0034033459356694277,0.0034219057020436036,0.0031964077030192384,0.0033666574811010972,0.0033387626751168035,0.003288400282159622,0.0029158638199654353,0.0016525407711584035
ATF3_+,0.0023901852421475216,0.0010383070810666979,0.000711012190380974,0.0006932116913472675,0.0009124663181824624,0.0008021672483886149,0.0008280032640916708,0.0008231726911273212,0.0008943569382972651,0.0008270191655074624,0.0009528779728744716,0.0010136411775221762,0.0011278164867234456,0.0009946969416572973,0.0010451903177811767,0.0009871002586418493,0.0007153021032709784,0.0008776807054911234,0.0007559371553569679,0.0008807188525194548,0.000874133165653499,0.0009402417614071141,0.0008815884404595533,0.0008645161449470724,0.0009006224776588358,0.0007780173490009455,0.002559699356291829,0.0035296508088660293,0.0032169051287826884,0.0014751802670943997,0.0011544800992888073,0.0009780685153484476,0.0009325818492318893,0.0009180505127655688,0.0009771699949112954,0.0011374648144883896,0.0011125290913304004,0.0009692832699447977,0.0009678048417881617,0.0010030442155313354,0.0009116458041668379,0.0008305506708580312,0.0009101905932097778,0.000878043205701736,0.0007237564456759732,0.0009523288206644741,0.0009183864498557359,0.004290398547643226,0.004283046957318822,0.004288084456721162,0.004630829665583332,0.0008337438804470795,0.0009037549527114107,0.0009431918431372741,0.0009354878044721133,0.004316331859589498,0.0038669028565976355,0.00346131773023267,0.0034133714050715762,0.0019239116672823923,0.0008713445480898366
ATF4_+,0.003036038841142226,0.0026799776955128826,0.0024907861426107427,0.0025051353821295154,0.0025036492265931107,0.002852614646310146,0.002776603594172586,0.002618679479722414,0.0028310822160916875,0.002760656931197356,0.0027262543130064467,0.0028112687733490224,0.002801018238502194,0.002839114475681829,0.0028978236178077736,0.002887125217756315,0.002915937308502526,0.0027585978785375454,0.002845054718975183,0.0027081656352574562,0.0024329528838942746,0.0026679218478643458,0.0025188565471217787,0.0029039117715880885,0.0026060930609199625,0.0030041172386945894,0.0031061211622722498,0.002878399180275685,0.00288377532955107,0.003190667438762596,0.0028889284514240442,0.002599012678465074,0.002242559106404715,0.002331668145348763,0.002607156576128762,0.003882396641885838,0.0038828101423304686,0.004065667158230678,0.0026019062290447642,0.003077065698119904,0.0028692201365747346,0.002808415708963645,0.002822318007871609,0.0022916281726905463,0.0025132341376278926,0.002416207904477573,0.0027483756601848226,0.002669687787216629,0.0024824515632222766,0.00261784438529912,0.002544131049913723,0.0028787185819755014,0.002374775117004523,0.0026086921486468185,0.0025443762501113467,0.002698771725043225,0.0023969809407170246,0.0024070463999205788,0.002258443269130666,0.0031427122590034595,0.0026884616472229337
ATF5_+,0.0031741765195088868,0.0011528437779371133,0.0010098300350463844,0.0009132603943155034,0.001009295612297372,0.000881520217600507,0.000989294610407754,0.0010270856966693208,0.0009779244655843168,0.0008939112323913564,0.0009803565965238721,0.0011299742520562682,0.0011173668670885705,0.0010649236554974813,0.0011148790687735837,0.001078432754179956,0.0008163778497598393,0.001022064005571001,0.0008226459333277416,0.000979875232837976,0.000946863158421071,0.0009372007522570006,0.0010657383253226738,0.0009781658093938272,0.0009399032283294359,0.0009084359815004123,0.003064808879729864,0.0032365642728548597,0.0027435005884639376,0.0017535900934271414,0.0012673727853269817,0.0010757894757678303,0.0010221348707270636,0.0010201377517538518,0.0011268870388942561,0.0029613570631442255,0.002942267535433772,0.0029215965345179636,0.001268020724422646,0.0015373962572462648,0.001154286631927361,0.001104690410328687,0.001224813616314208,0.0008331784618011789,0.0009415533053712243,0.0010066175811780285,0.001113260207119966,0.0034082514433961056,0.00354549691695551,0.003543992047892151,0.0034580282981829403,0.0009133033397493295,0.0009632623915266985,0.0010266918777528486,0.000978961441051686,0.0036938058336053797,0.002873315474275496,0.002457771189703639,0.002381981754302504,0.003158664844249115,0.0010286888944716556
BACH1_+,0.0021470364383069564,0.0015858439223451635,0.0013024854031950595,0.001284448444026381,0.0008258705043565936,0.0008310823500231965,0.0008515643401384002,0.000977084543634122,0.0008863982715677062,0.000844940460817887,0.0008365489043709672,0.0009282496252825158,0.0009428155928687559,0.0009412968366942399,0.0009204091229037196,0.0008755427503100662,0.0007660528035814467,0.0008963787202900533,0.0008199837123613851,0.0009280900334660365,0.0008223019888301064,0.0007670482301923035,0.0008857820448370365,0.0008017480866112424,0.0007742057152879574,0.000786386884753514,0.0022260965878136314,0.0028598683719596556,0.0027394110435410724,0.0016235692282591397,0.0012103713999294164,0.0007883563967530525,0.0008982909484958188,0.000847895817107378,0.000915853497229245,0.0011996333214870252,0.0012156159974867793,0.001121287082454312,0.0009602733399128633,0.0009336631584351249,0.001347770155842298,0.0012952797700009257,0.0014089320523702693,0.0008483733933681116,0.0013266746366691624,0.0008230538981453342,0.0013830183558526364,0.0034877259078163678,0.0035222478126531627,0.003504711376545051,0.003362026911209186,0.0007859826308914519,0.0007975684060209682,0.0007860557956480401,0.0007483680435106143,0.003543967298857377,0.003925896622750438,0.003981159815863167,0.0040918501206786105,0.00160451465707591,0.001355539789163984
BACH2_+,0.0004681106498094371,0.0012004597208728318,0.0026343052459174773,0.002827754417358942,0.00029455016462906416,0.0010078882745805588,0.0010556033562435687,0.0006341526280013308,0.0008319517617779019,0.0008924138680385227,0.0006668280448553048,0.0006731217127312483,0.00048963086258024,0.0006810579201877486,0.0006782585712405793,0.0008150533560422847,0.0014049247281879259,0.0008559729382155353,0.0011937579162865893,0.0008553037067822427,0.0003185289527812829,0.000542476402979355,0.000569304489005241,0.0010764914905447387,0.00048768535878329064,0.0013062635075585252,0.0005463458277657861,0.0004049066483249161,0.0004784630989256126,0.0006874743634483391,0.0007784932730824293,0.00042967435938525756,0.0003306274630775685,0.0003072902513223074,0.0005985479725379628,0.0004362725932597619,0.0004891235792982284,0.0004341685332665857,0.0003490218026551136,0.0003853579775696322,0.0012803092173068302,0.001346774500561517,0.0010887702710653622,0.00042990039804719095,0.0026967766418319653,0.00046782822487287487,0.0014338361341448612,0.0003470843472546533,0.0003402418624121938,0.0003622884300660223,0.0003433100420935184,0.0009601539019907288,0.00038645018644532564,0.0004958345118454465,0.0004815943052207858,0.00027032477957274887,0.0002022294044221615,0.00021851284359619303,0.00019379941455890132,0.0003971023173909871,0.0014272112280738494
