,mean_RI,median_RI,max_RI,std_RI,cv_RI,n_critical,stability_rank,role
HSF1_+,0.006321975861541082,0.006332384482336634,0.007774631970262278,0.000836946093687314,0.13238679044100435,61,1,stabilizer
EGR1_+,0.005736713882557137,0.00580556631697533,0.0075655586063467445,0.000733944079556606,0.12793806601724972,57,2,stabilizer
KLF9_+,0.005693042799198087,0.005533673524427339,0.008193791055287324,0.001114044824485566,0.1956853063614423,52,3,stabilizer
JUNB_+,0.005661082237079229,0.0057383533852847874,0.0066120256535771305,0.000543618599813178,0.09602732780607413,60,4,stabilizer
JUN_+,0.005632263809811088,0.00565488226799881,0.007262250141649297,0.0008389331455050673,0.14895132289342367,53,5,stabilizer
PATZ1_+,0.005526657346902918,0.005498143700362547,0.007646900047918227,0.0009040563716020741,0.16358104269755694,52,6,stabilizer
ZEB1_+,0.005244920460727834,0.005246893671295557,0.0071112895873334915,0.0011892926733239665,0.22675132673645498,45,7,stabilizer
PHF1_+,0.00484800825848067,0.005016859942018276,0.006480645956704612,0.000991380798065383,0.2044923904835884,43,8,stabilizer
ZNF101_+,0.0042862240949813595,0.004139135896231927,0.006580631751069989,0.000982972655055995,0.22933300570485846,23,9,stabilizer
FOSB_+,0.004116272867869587,0.0041870710026993925,0.005078293101219179,0.00042040798506626904,0.10213316717793824,8,10,stabilizer
SATB1_+,0.004104260457328685,0.004216993749269045,0.006077364027084503,0.0008426037185949558,0.20529976768045477,18,11,stabilizer
ZBTB25_+,0.003591033503427598,0.0034922939632203334,0.0055421200152751485,0.0009848042653670221,0.2742397875577598,15,12,stabilizer
HIVEP2_+,0.0035259858596051207,0.0034859109250788924,0.00494329883476038,0.0007447047290191768,0.21120468386999502,5,13,stabilizer
JUND_+,0.0031952112966660696,0.0031976421527394466,0.003899411058995872,0.00028033204461333006,0.08773505677640085,0,14,stabilizer
BATF_+,0.0031644804498804414,0.0030014823120062665,0.005413361947757013,0.0009096267411888925,0.2874490000201488,7,15,stabilizer
KLF2_+,0.003104345937473217,0.0030698330286033533,0.0036601943619048423,0.0003303538082578725,0.10641655756328094,0,16,stabilizer
SP100_+,0.0030921154143577867,0.0033065802701604135,0.004447115085742613,0.0008141575178036056,0.26330114127043347,0,17,stabilizer
STAT5B_+,0.003055570927969896,0.0028550950452941593,0.004664387116172513,0.0009720196840269649,0.3181139324278934,3,18,stabilizer
THRA_+,0.003008973054707821,0.002873763348222307,0.005273663774989639,0.001230235379623111,0.4088555652864477,5,19,stabilizer
ASCL2_+,0.0029521035590254364,0.002883089095409075,0.005742904610460542,0.001018713943354735,0.345080693356827,6,20,stabilizer
KLF6_+,0.0029310896830380484,0.002931893460525637,0.0036150733059108708,0.0003054968055765904,0.10422635896821802,0,21,stabilizer
ZNF639_+,0.002922322655669139,0.0030928089277670176,0.004184223898732215,0.0006794243740974304,0.23249464686826807,0,22,stabilizer
MYC_+,0.0029148687572031423,0.0030187081379475255,0.004187793126995945,0.000634645444510353,0.2177269363240825,0,23,stabilizer
HMGA1_+,0.0028624059386955377,0.002833052719279293,0.0046769787038742185,0.0005472949305468538,0.19120101833112718,1,24,stabilizer
NFIC_+,0.0028586834714197486,0.002802074572768425,0.004399093464359083,0.0004841432853317774,0.16935882898639756,0,25,stabilizer
FOXP1_+,0.0027978348530801624,0.002754063582234874,0.005094003473656381,0.0009719277051113818,0.3473856591978586,3,26,stabilizer
RELB_+,0.0027839420300613195,0.002014472733973385,0.005568287970540575,0.001309203364658124,0.4702696212963233,10,27,stabilizer
TCF7_+,0.002761855207116779,0.0026297884438715446,0.004556164645971788,0.0007762510610561878,0.2810614614317485,2,28,stabilizer
ATF4_+,0.0027606567946558236,0.0027262543130064467,0.004065667158230678,0.0003498728326144146,0.12673535992049983,0,29,stabilizer
KLF3_+,0.002734069813216585,0.0029238207589374196,0.0034001533388717774,0.0005368467596479147,0.19635444451945777,0,30,stabilizer
HIF1A_+,0.0027244474875328414,0.0027113341258795695,0.004305683258341581,0.000569392497905655,0.20899375021989577,0,31,stabilizer
ARNTL_+,0.0027015701079077283,0.00273539285737212,0.004886186196329333,0.001081910500880668,0.4004747081385555,2,32,stabilizer
NFIL3_+,0.0026766854894494686,0.002544725750631253,0.00452042664144415,0.0009553453001923742,0.35691354236464773,0,33,stabilizer
ZEB2_+,0.002662339632696306,0.002488442288248193,0.004083716433321183,0.0007943617010370286,0.2983697838484125,0,34,stabilizer
BCL11B_+,0.0026355373077039503,0.002421166060974171,0.004363385580149465,0.0008862165698633083,0.3362565071405168,0,35,stabilizer
STAT4_+,0.002542776487991682,0.0026050113512193873,0.0057035772071930505,0.0016559179667076452,0.6512243501843477,10,36,stabilizer
MBD2_+,0.0025259278493132264,0.0024374190436332677,0.004018366018504367,0.0003875955551160524,0.15344680374302408,0,37,stabilizer
ZNF783_+,0.0025250643457339884,0.0025529063139393534,0.003768116516409127,0.0005165807828774655,0.20458123514580143,0,38,stabilizer
ZNF91_+,0.002437562381887254,0.002729438502320822,0.006087392233709293,0.0011745752560819427,0.4818646957829555,1,39,stabilizer
NR2C1_+,0.00240047051516015,0.0024550777714569282,0.003892954717305475,0.0008817640619689064,0.3673296780913591,0,40,stabilizer
MAZ_+,0.002388239825078305,0.0025207967389650806,0.0038836975486397866,0.0005430390501216599,0.2273804515744035,0,41,stabilizer
TGIF1_+,0.002380645106562951,0.0024063268542526602,0.0029577902808214126,0.0003670367641752812,0.15417533802466427,0,42,stabilizer
CREM_+,0.002364483514768599,0.0022846127863992076,0.005280242668651747,0.0012510297423676724,0.5290921818759277,3,43,stabilizer
PHF20_+,0.002358452475046347,0.0024326116705664907,0.003160109452091308,0.0005363267902706673,0.22740623172095994,0,44,stabilizer
MAF_+,0.0023415376189166214,0.0022514429384626567,0.00388575877602904,0.0008625223093506863,0.3683572290337148,0,45,stabilizer
BBX_+,0.0023243176991433597,0.0024174953302371367,0.004087321751145993,0.0009378918358131937,0.4035127537665553,0,46,stabilizer
NR1D2_+,0.0023222972091111447,0.002522504434106961,0.004286392957314256,0.0009263496425558947,0.3988936637923101,0,47,stabilizer
ETS1_+,0.002309507888940213,0.002233959584040745,0.0036436302950727468,0.0006952039768613671,0.30101822985301174,0,48,stabilizer
XBP1_+,0.0022619814356599414,0.002134409107861802,0.006186596264935676,0.0009611376438999716,0.4249096072685701,3,49,stabilizer
MAX_+,0.002260930946159679,0.002274030089690026,0.0032712695217682686,0.0005110509219879663,0.22603561715583578,0,50,stabilizer
MXD1_+,0.0022543866696674193,0.0017408891994823692,0.004569565068925785,0.0010435013392800035,0.46287593555149575,2,51,stabilizer
MAFF_+,0.002219049274502915,0.0018339229492979883,0.005556552922901315,0.000979850312889803,0.4415631161086922,3,52,neutral
KLF11_+,0.002183399074243028,0.001893309711136711,0.004806766402020298,0.0008156070126827493,0.3735492159590506,2,53,neutral
MXI1_+,0.0021632035710632057,0.00202425524994595,0.00394721868268724,0.0010036424416834692,0.4639611614205231,0,54,neutral
ZBTB20_+,0.002125094153937372,0.0020737354541016007,0.00455063912504454,0.0010856052454268138,0.5108504218058081,1,55,neutral
BHLHE40_+,0.0021166124991477404,0.0018566901508161049,0.004078554967713383,0.0008029324769603922,0.37934788578653256,0,56,neutral
FOSL2_+,0.0021135208981211194,0.001954802663805159,0.004303115035400063,0.0008322623183713517,0.3937800277808643,0,57,neutral
PRDM1_+,0.0021022136619541156,0.0019311572507914746,0.004294762606967511,0.0008573776788904675,0.4078451653128568,0,58,neutral
ZNF33A_+,0.0020999867031411762,0.0021655671846751027,0.0034601982936124285,0.0007105090985484153,0.3383398081270184,0,59,neutral
STAT1_+,0.002099919568849143,0.002032666605229533,0.0035895132235090315,0.0005366712136842606,0.2555675090559848,0,60,neutral
NFATC2_+,0.002066158625474709,0.0017903747467496894,0.004160216245292162,0.0007910252139482219,0.3828482497967125,0,61,neutral
