Region,Gene,TF,region_chr,region_start,region_end,locus_id,n_active_celltypes,tf_stability
chr1:151946299-151946800,S100A10,BATF,1.0,151946299.0,151946800.0,AD_locus_1,34,stabilizer
chr1:152029195-152029696,S100A10,BATF,1.0,152029195.0,152029696.0,AD_locus_1,10,stabilizer
chr1:151867710-151868211,S100A10,BATF,1.0,151867710.0,151868211.0,AD_locus_1,10,stabilizer
chr1:152160495-152160996,S100A11,BATF3,1.0,152160495.0,152160996.0,AD_locus_1,16,intermediate
chr1:151830625-151831126,THEM4,BCL11B,1.0,151830625.0,151831126.0,AD_locus_1,59,stabilizer
chr1:151939730-151940231,S100A11,CEBPA,1.0,151939730.0,151940231.0,AD_locus_1,3,intermediate
chr1:152164456-152164957,S100A11,CEBPA,1.0,152164456.0,152164957.0,AD_locus_1,4,intermediate
chr1:152162706-152163207,S100A11,CEBPB,1.0,152162706.0,152163207.0,AD_locus_1,8,intermediate
chr1:152167771-152168272,S100A11,CEBPB,1.0,152167771.0,152168272.0,AD_locus_1,8,intermediate
chr1:152145726-152146227,S100A11,CEBPB,1.0,152145726.0,152146227.0,AD_locus_1,4,intermediate
chr1:152000899-152001400,S100A10,CEBPB,1.0,152000899.0,152001400.0,AD_locus_1,14,intermediate
chr1:151960327-151960828,S100A10,CEBPB,1.0,151960327.0,151960828.0,AD_locus_1,3,intermediate
chr1:151939730-151940231,S100A10,CEBPB,1.0,151939730.0,151940231.0,AD_locus_1,3,intermediate
chr1:151920057-151920558,S100A10,CEBPB,1.0,151920057.0,151920558.0,AD_locus_1,23,intermediate
chr1:152014911-152015412,S100A10,CEBPB,1.0,152014911.0,152015412.0,AD_locus_1,5,intermediate
chr1:151833413-151833914,S100A10,CEBPD,1.0,151833413.0,151833914.0,AD_locus_1,6,intermediate
chr1:151969279-151969780,S100A10,CEBPD,1.0,151969279.0,151969780.0,AD_locus_1,8,intermediate
chr1:151830625-151831126,C2CD4D,CREB3L2,1.0,151830625.0,151831126.0,AD_locus_1,59,not_in_TOPPLE
chr1:151830625-151831126,RORC,CREB3L2,1.0,151830625.0,151831126.0,AD_locus_1,59,not_in_TOPPLE
chr1:151994193-151994694,S100A10,E2F4,1.0,151994193.0,151994694.0,AD_locus_1,55,not_in_TOPPLE
chr1:151904945-151905446,MRPL9,ELF1,1.0,151904945.0,151905446.0,AD_locus_1,24,intermediate
chr1:151898081-151898582,MRPL9,ELF1,1.0,151898081.0,151898582.0,AD_locus_1,41,intermediate
chr1:151838062-151838563,MRPL9,ELF1,1.0,151838062.0,151838563.0,AD_locus_1,48,intermediate
chr1:151815665-151816166,MRPL9,ELF1,1.0,151815665.0,151816166.0,AD_locus_1,39,intermediate
chr1:151905621-151906122,MRPL9,ELF1,1.0,151905621.0,151906122.0,AD_locus_1,10,intermediate
chr1:151837191-151837692,MRPL9,ELF1,1.0,151837191.0,151837692.0,AD_locus_1,24,intermediate
chr1:151898081-151898582,TDRKH,ELF1,1.0,151898081.0,151898582.0,AD_locus_1,41,intermediate
chr1:151828890-151829391,TDRKH,ELF1,1.0,151828890.0,151829391.0,AD_locus_1,22,intermediate
chr1:151815665-151816166,TDRKH,ELF1,1.0,151815665.0,151816166.0,AD_locus_1,39,intermediate
chr1:151904945-151905446,TDRKH,ELF1,1.0,151904945.0,151905446.0,AD_locus_1,24,intermediate
chr1:151905621-151906122,TDRKH,ELF1,1.0,151905621.0,151906122.0,AD_locus_1,10,intermediate
chr1:151830625-151831126,TDRKH,ELF1,1.0,151830625.0,151831126.0,AD_locus_1,59,intermediate
chr1:151820944-151821445,TDRKH,ELF1,1.0,151820944.0,151821445.0,AD_locus_1,29,intermediate
chr1:151837191-151837692,TDRKH,ELF1,1.0,151837191.0,151837692.0,AD_locus_1,24,intermediate
chr1:151817275-151817776,RORC,ELK3,1.0,151817275.0,151817776.0,AD_locus_1,11,intermediate
chr1:151837191-151837692,RORC,ELK3,1.0,151837191.0,151837692.0,AD_locus_1,24,intermediate
chr1:151820944-151821445,RORC,ELK3,1.0,151820944.0,151821445.0,AD_locus_1,29,intermediate
chr1:151930125-151930626,S100A10,ELK3,1.0,151930125.0,151930626.0,AD_locus_1,2,intermediate
chr1:151820944-151821445,C2CD4D,ELK3,1.0,151820944.0,151821445.0,AD_locus_1,29,intermediate
chr1:151837191-151837692,C2CD4D,ELK3,1.0,151837191.0,151837692.0,AD_locus_1,24,intermediate
chr1:151817275-151817776,C2CD4D,ELK3,1.0,151817275.0,151817776.0,AD_locus_1,11,intermediate
chr1:151820944-151821445,LINGO4,ELK3,1.0,151820944.0,151821445.0,AD_locus_1,29,intermediate
chr1:151837191-151837692,LINGO4,ELK3,1.0,151837191.0,151837692.0,AD_locus_1,24,intermediate
chr1:151817275-151817776,LINGO4,ELK3,1.0,151817275.0,151817776.0,AD_locus_1,11,intermediate
chr1:151832589-151833090,RORC,EOMES,1.0,151832589.0,151833090.0,AD_locus_1,1,intermediate
chr1:151828388-151828889,RORC,EOMES,1.0,151828388.0,151828889.0,AD_locus_1,10,intermediate
chr1:151815665-151816166,RORC,EOMES,1.0,151815665.0,151816166.0,AD_locus_1,39,intermediate
chr1:151825958-151826459,RORC,EOMES,1.0,151825958.0,151826459.0,AD_locus_1,25,intermediate
chr1:151837191-151837692,THEM4,ETS1,1.0,151837191.0,151837692.0,AD_locus_1,24,stabilizer
chr1:151925152-151925653,THEM4,ETS1,1.0,151925152.0,151925653.0,AD_locus_1,15,stabilizer
chr1:151825958-151826459,THEM4,ETS1,1.0,151825958.0,151826459.0,AD_locus_1,25,stabilizer
chr1:152035005-152035506,THEM4,ETS1,1.0,152035005.0,152035506.0,AD_locus_1,47,stabilizer
chr1:151904945-151905446,THEM4,ETS1,1.0,151904945.0,151905446.0,AD_locus_1,24,stabilizer
chr1:151898585-151899086,THEM4,ETS1,1.0,151898585.0,151899086.0,AD_locus_1,58,stabilizer
chr1:151825958-151826459,TDRKH,ETS1,1.0,151825958.0,151826459.0,AD_locus_1,25,stabilizer
chr1:152011795-152012296,S100A11,ETS2,1.0,152011795.0,152012296.0,AD_locus_1,9,intermediate
chr1:152148930-152149431,S100A11,ETS2,1.0,152148930.0,152149431.0,AD_locus_1,2,intermediate
chr1:151930125-151930626,S100A11,ETS2,1.0,151930125.0,151930626.0,AD_locus_1,2,intermediate
chr1:152158829-152159330,S100A11,ETS2,1.0,152158829.0,152159330.0,AD_locus_1,2,intermediate
chr1:152165222-152165723,S100A11,ETS2,1.0,152165222.0,152165723.0,AD_locus_1,18,intermediate
chr1:152170449-152170950,S100A11,ETS2,1.0,152170449.0,152170950.0,AD_locus_1,12,intermediate
chr1:152182386-152182887,S100A11,ETS2,1.0,152182386.0,152182887.0,AD_locus_1,9,intermediate
chr1:151967946-151968447,THEM4,FOXO1,1.0,151967946.0,151968447.0,AD_locus_1,59,intermediate
chr1:151905621-151906122,THEM4,FOXO1,1.0,151905621.0,151906122.0,AD_locus_1,10,intermediate
chr1:151898081-151898582,THEM4,FOXO1,1.0,151898081.0,151898582.0,AD_locus_1,41,intermediate
chr1:151891435-151891936,THEM4,FOXO1,1.0,151891435.0,151891936.0,AD_locus_1,18,intermediate
chr1:151828388-151828889,C2CD4D,GATA3,1.0,151828388.0,151828889.0,AD_locus_1,10,intermediate
chr1:151815665-151816166,C2CD4D,GATA3,1.0,151815665.0,151816166.0,AD_locus_1,39,intermediate
chr1:151828890-151829391,C2CD4D,GATA3,1.0,151828890.0,151829391.0,AD_locus_1,22,intermediate
chr1:151828890-151829391,RORC,IKZF2,1.0,151828890.0,151829391.0,AD_locus_1,22,destabilizer
chr1:151846674-151847175,C2CD4D,IKZF2,1.0,151846674.0,151847175.0,AD_locus_1,22,destabilizer
chr1:151828388-151828889,LINGO4,IKZF2,1.0,151828388.0,151828889.0,AD_locus_1,10,destabilizer
chr1:151828890-151829391,LINGO4,IKZF2,1.0,151828890.0,151829391.0,AD_locus_1,22,destabilizer
chr1:151825958-151826459,MRPL9,IRF3,1.0,151825958.0,151826459.0,AD_locus_1,25,not_in_TOPPLE
chr1:151836400-151836901,TDRKH,KLF12,1.0,151836400.0,151836901.0,AD_locus_1,59,intermediate
chr1:151827789-151828290,TDRKH,KLF12,1.0,151827789.0,151828290.0,AD_locus_1,12,intermediate
chr1:151836400-151836901,MRPL9,KLF13,1.0,151836400.0,151836901.0,AD_locus_1,59,not_in_TOPPLE
chr1:151888926-151889427,THEM4,LEF1,1.0,151888926.0,151889427.0,AD_locus_1,36,destabilizer
chr1:151832589-151833090,TDRKH,MAX,1.0,151832589.0,151833090.0,AD_locus_1,1,stabilizer
